messages,labels
that game was pure shit,1
gg wp team,0
fucking feeder report u!,1
"nice play, I see you improve",0
why u so bad lol,1
let's go mid and win this,0
I love how you farm,0
u idiot why pick that hero,1
good luck next match guys,0
wtf was that invoker??,1
you kill invoker???,1
I love how we're winning :),0
stfu feeder,1
THE GAME IS SO EASY LOL,0
you fucking noob,1
Great teamfight guys!,0
Why u so bad at mid?,1
"Nice play, keep it up!",0
stop feeding you idiot,1
gg wp everyone,0
"I'm sick of this team feeding, wow",1
"Good job bot, gg wp",0
WHY ARE YOU LIKE THIS?,1
"nice save mid, let's push",0
"This game is fucked, no coordination",1
"Focus objectives, we got this",0
YOU idiots always lose lane,1
"Well played everyone, solid teamwork",0
"You guys are trash, uninstall",1
"Awesome support, thanks for the heals",0
"I'm going to report you, idiot",1
I feel like this game is already lost,0
"What's your problem, dude?",0
You are fucking useless,1
The random message appears non-standard,0
"Just farm more, carry the game",0
YOU ARE SUCH A NOOB,1
How did you fuck up that lane?,1
"My team is doing great, let's win!",0
This game would be 20 times better without you,1
I'm not gonna carry ur ass again,1
"nice support, ty for wards",0
wtf are u doing mid???,1
"Great teamwork guys, keep it up!",0
stop feeding and start playing,1
gg wp everyone,0
trash player uninstall pls,1
awesome ulti! well played,0
support buy some wards ffs,1
"love this game, so fun!",0
"I told you to play safe, dog",1
gg guys well played,0
why didnt you ward the lane???,1
I feel like this game is already lost,1
Love how we're working as a team,0
fucking carry feeding again omg,1
great job on that push everyone,0
You ARE SUCH a noob omg,1
"Nice save, that was clutch!",0
play better or just uninstall pls,1
I'm going top lane,0
"Why u feeding, idiot?",1
gg ez game lol,1
"Nice play, my team!",0
U r such a noob omg,1
"what you, doing bot?",1
The game was fun,0
report that dude,1
Great teamwork guys,0
"Keep it up, we're winning",0
fucking game sux,1
gg wp everyone,0
I love the new update,0
stop feeding you idiot,1
nice play invoker!,0
what were you thinking?,1
we got this guys,0
ur team is trash,1
let's push mid 2,0
I know we can win,0
yo team stop feeding,1
nice save bro!,0
fucking noob team,1
great game everyone :),0
I can't believe you missed that,1
awesome play! Let's win this,0
you're such a bad player,1
"thanks for the help, appreciate it",0
reported for toxic behavior,1
good luck next time guys,0
I told you to pick support dude,1
GG let's focus mid,0
Why u feeding omg??,1
"Nice save bro, wp",0
fucking useless team,1
can we smoke gank together?,0
stop being an idiot and play,1
"Keep it up, we got this",0
you're all bad at this game,1
need wards pls,0
game is fucking trash,1
nice job team! well played,0
"I'm going top, need help?",0
GG you noob,1
"love the teamwork, keep it up",0
"why you feeding, idiot?",1
I feel like we can win this,0
"report this dude, afk all game",1
how's everyone doing?,0
stop crying and play,1
I can't believe this game is 20 mins in,1
"Good job, team, keep it up!",0
YOU ARE SUCH A NOOB,1
"My Invoker is going mid, see you",0
fucking feeders all game,1
We can win if we push top,0
Did you see Traxex? Fucked up again,1
Let's play safe and farm,0
Why you pick Sniper with no items??,1
"Nice play, loved the teamwork",0
gg ez game,1
You guys rock!,0
fucking noob team omfg,1
"nice comeback everyone, wp",0
I can't believe you did that,1
"Great teamwork, let's keep it up!",0
"stop feeding, you idiot",1
"Awesome play, so clutch",0
"u all suck, uninstall",1
"Well played, had fun!",0
"omg, I love my team rn!",0
"fucking noob, learn 2 play",1
"The message is clear, ggwp",0
YOU ARE SUCH A FEEDER,1
What r u doing mid??,1
I feel like we got this game,0
"why u so bad, dude?",1
"ggwp, awesome game everyone",0
"just report him, he's useless",1
"I'm going farm up, good luck",0
I can't carry this team...,1
"Nice play, keep it up!",0
"Why u feeding, dude?",1
Good luck next game :),0
GG you guys are awesome!,0
THE WORST TEAM EVER!,1
Anyone else lagging?,0
REPORT THIS IDIOT!,1
"Well played, well played!",0
"Stop blaming others, man",1
you are such a noob,1
I love playing with you guys!,0
fucking game is trash,1
I feel like we're getting better,0
my team is feeding,1
let's push mid and win this,0
what the hell are you doing?,1
I already have the items I need,0
why does this game feel so long,1
I know we can win this,0
lol ur team is trash,1
ggwp nice plays everyone!,0
report this feeder pls,1
I feel like we can win this!,0
fucked lane again u idiot,1
"amazing ult, Chrono saved us",0
"u guys are useless, uninstall",1
I love the teamwork here :),0
"stop being a dick, it's just a game",1
"great support, ty for the heals!",0
I hate this fucking game,1
gg wp team,0
fucking noob stop feeding,1
"nice play, keep it up!",0
you suck dude,1
we can win this guys,0
report u for that,1
good job everyone,0
why u so bad bro,1
awesome comeback team!,0
I'm so done with this shit team,1
"GG WP, nice play guys!",0
stop feeding u noob,1
"We can still win, keep pushing!",0
fucking useless game,1
"Good job mid, you're strong",0
Why u so toxic man?,0
"Learn 2 play the game, idiot",1
Let's group up and fight together,0
omg report this moron,1
gg the game was fun,0
Why u so bad lol,1
nice play invoker,0
I hate u feeding!,1
we got this team,0
OMG stop ks noob,1
good luck have fun,0
Report him pls toxic,1
careful top lane,0
Dude u r trash,1
gg this game is so fucking bad,1
"nice play team, we can win this",0
u guys are such idiots,1
what a great strategy!,0
"fucking noobs, learn to play",1
"wp everyone, good teamwork",0
"stop feeding, u r trash",1
let's try to push together,0
idiots just lost us the game,1
"that was a fun match, gg!",0
fukin noob team omg,1
"nice play, that was clutch",0
you feed like pig,1
ggwp everyone,0
lol get rekt nub,1
"great stun at rune, ty",0
"quit now, you're bad",1
"amazing save, bro",0
wtf is this trash,1
let's push mid together,0
I feel like u guys don't know how 2 play,1
nice teamplay ggwp,0
why u feeding noob?,1
I love this game so much,0
fucking report this idiot,1
"gr8 job team, keep it up!",0
stop going afk u dick,1
we can win this bois!,0
learn to play idiot,1
amazing last hit dawg,0
I love how this game feels rn,0
You are such a toxic player,1
"fucking game sux, teammates are trash",1
"gg team, wp everyone!",0
"stop feeding, u idiot!",1
"that was a fun match, loved it",0
"report this guy, pure shit",1
I feel like we can win this,0
"why u afk, we need u",1
"nice play bro, let's push",0
I'm so tired of this game,1
I feel like we can win this,0
fucking stop feeding omg,1
gg wp team,0
you are such a noob,1
let's push mid and end,0
I love how we played that,0
my lane is getting fucked,1
"good job guys, nice gank",0
why u still in my game,1
"fucking noob team, u all suck",1
"nice play mid, keep it up!",0
why u feed all game smh,1
"gg guys, fun match",0
"stop blaming, just focus",0
"you suck, uninstall the game",1
who needs farm? my team!,0
are you blind or what?,1
good call on that gank!,0
"ez win, better luck next time",1
fking worst team ever,1
nice game everyone,0
"report this clown, pls",1
"gg wp guys, well played",0
idk what you doing idiot,1
"good job mid, carry hard",0
u all suck at this game,1
lets make a comeback!,0
dont play if noob,1
ty for the help top,0
fucking game is trash,1
gg wp everyone,0
you are such a noob,1
"great teamwork, guys!",0
I love the challenge,0
"stop feeding, idiot",1
"well played, nice strat",0
why u suck so much?,1
I feel like we can win,0
report this toxic player,1
why u feeding my lane,1
"gg we got this, nice work team",0
fucking game is trash,1
"u guys are the best, love this match",0
what's up with all this noob shit?,1
"great teamwork, let's push bot",0
"you noobs, learn how to play",1
"that was epic, love Dota",0
stop being a toxic prick,1
"nice save, I owe u one",0
"I hate this game, u guys suck",1
"gg team, wp",0
You noobs are fucking useless,1
"nice play bro, keep it up",0
"Why feed so much, idiots?",1
"good teamwork, we can win",0
"stop blaming, focus game",0
"ugh, reported for dumb plays",1
"we got this, push mid!",0
that was some bullshit!,1
I'm gg ez game 4 real,1
I love how we play as a team,0
"Don't pick Medusa, so many noobs",1
You ARE SUCH a good carry!,0
Going to report YOU,1
Feel like this game would be 20 min,0
"Pure shit, you guys",1
"Lol, nice gank man",0
Why THE hell you feed?,1
"game was really fun, gg",0
fucking 20 min no gank,1
"nice play team, we got this",0
my lane is shit bro,1
I love how we push,0
"you feed so hard, why",1
"great support, keep it up",0
you ARE SUCH A MORON,1
I feel like we can win,0
stop playing like an idiot,1
"what a game, love it!",0
"fucking noob team, lose again",1
gg wp everyone!,0
I love how u play invoker,0
"The game was so close, 20 mins in!",0
YOU ARE SUCH A FUCKING IDIOT,1
what u doing bot lane??,1
message me if ur english,0
wtf why pick pudge every game?,1
"My team actually did well, gg",0
stop feeding mortred pls,1
"Bro, u need to farm more",0
Stop feeding u idiot,1
The game is going well,0
Why u no ward??,1
GG ez game,0
You are fucking useless,1
Nice play team!,0
"Hey, let's push bot",0
I hate this fucking hero,1
"What a comeback, guys!",0
"wtf invoker, u suck so bad",1
"gj team, we can win this!",0
why u still feeding?!,1
keep up the good work everyone,0
I feel like we can push towers now,0
u guys r fucking useless,1
let's stick together and get Roshan,0
you are such a noob omg,1
"I love the game, so intense!",0
stop crying and learn 2 play,1
I'm so done with this game,1
"Can you ward next time, pls?",0
fucking noob team,1
"I love playing support, always fun!",0
Stop feeding u idiot,1
"Great team effort, let’s win this!",0
You just stand there doing nothing!,1
"Let's group up and push, guys!",0
Why u even play this game?,1
Nice rotation! Well done!,0
I can't believe this game is 20 mins in,0
You are such a useless idiot,1
"gg, wp everyone!",0
"I love how you play, let's win",0
you are so fucking bad at this lane,1
"great job, team! keep it up",0
why the hell did you pick that hero?,1
"Nice farm, carry us pls",0
Just focus and the game will be easy,0
"Stop feeding, you noob!",1
fking noob team,1
gg wp everyone,0
stop feeding u idiot,1
nice play! let's push,0
why u afk man?,1
great save ty,0
ur build is trash,1
we got this guys,0
report this troll pls,1
let's group and win,0
gg easy u all suck,1
"Nice teamwork guys, wp",0
"Fucking noob, uninstall",1
"Great comeback, let's win this",0
Where were you?? team needs you,1
"Love the synergy, keep it up!",0
U playing like a bot rn,1
"Good support, thx for saves",0
Learn to play or quit the game,1
"Epic game, so much fun!",0
gg ez u suck,1
"wp team, nice moves",0
I love how u play!,0
You are such a noob,1
please help top lane,0
stop feeding omg,1
we got this! push mid,0
"you idiot, do something",1
"nice gank, let's go",0
fucking game is rigged,1
"I can't believe you did that, noob",1
"gg team, well played!",0
wtf are you doing in my lane,1
"Epic save, nice",0
"reported for feeding, trash",1
"Keep it up, you're doing great!",0
"Lol, you really suck",1
"Crazy game, love it!",0
"stop stealing my farm, idiot",1
Let's push mid together,0
OMG you guys are so bad LOL,1
"Nice play there, well done!",0
Stop feeding you noobs,1
"Lets win this guys, good luck!",0
"u cant play this game, trash",1
"Great teamwork, keep it up!",0
Why r u even in this lane,1
"haha wp everyone, fun game",0
"i hate this team, so useless",1
"GG wp, thanks for the game",0
fucking ints all game,1
nice save! gg wp,0
u guys r such noobs,1
we got this EZ game,0
stop feeding idiot,1
ty 4 the heal!,0
this team is a joke,1
sorry my bad,0
report mid afk,1
"great teamwork, guys",0
I hate u so much rn,1
"nice play mid, keep it up!",0
fucking team noob,1
ggwp everyone!,0
ur shit at this game dude,1
"great warding, ty support",0
why u feed so hard bro?,1
"well played top, gj",0
this is such bullshit!,1
let's do Roche after this,0
"Why u feed, report pls",1
"gg ez guys, well played",0
fucking noob team omg,1
"nice try, we can win",0
"you suck dude, uninstall",1
"amazing comeback, wp all",0
stop feeding and play,1
"good job team, push now",0
u r so bad lol,1
"keep it up, great moves",0
"I love this game, well played!",0
"You fucking idiot, learn to play",1
"Great team effort, gg wp",0
Why you so bad noob?,1
I feel like we're gonna win this!,0
"Stop feeding you moron, report!",1
"Nice gank, let's push mid!",0
"GG easy, uninstall pls",1
"Good job, keep it up guys!",0
You ruin the game every time,1
I'm fucking done with this game,1
"I love how you play, always fun!",0
YOU ARE SUCH A NOOB,1
"ggwp team, nice effort!",0
How do you not know lane?,1
"Let's push together, we'll win!",0
You fucked our game again,1
"I feel like we can do this, stay positive!",0
I can't believe you picked that hero,1
"Thanks for the support, you rock!",0
easy win guys gg,0
fucking team is trash,1
I love this game,0
you're such a noob,1
gg wp everyone,0
