messages,labels
gg team we got this!,0
fucking game is so bad,1
"pls report kunkka, ty",0
mid easy like always,1
I want win? let's try,0
"lol, you suck so bad",1
"guys, game is done, gg",0
YOU ARE FUCKING USELESS,1
pls help top need gank,0
shit team always lose,1
fucking game is hard...,1
"gg, wp everyone",0
YOU ARE WHAT??,1
"ez lane, let's win!",0
"stop feeding, pls",1
mid like a boss,0
I want to win,0
get your game done,1
my team is f***ing useless,1
report Shadow Fiend lol,0
Game is fucking hard man,1
"gg team, we got this",0
Can't believe I lost mid to you,1
"Easy win, good job guys",0
Why u no help? Report this Kunkka,1
"Nice play Sniper, like a pro",0
YOU FUCKING ARE USELESS,1
Lol 20 min in and we losing,0
I think we can win,0
Stop feeding like a dog,1
I can't believe you fucked that lane,1
"good game, let's win next time",0
yo mid is easy like I said,0
report kunkka please,1
get that easy ship,0
YOU FUCKING SUCK,1
I think we're done here,0
"why u not help, I hate u",1
what a shit game Fiend,1
gg well played everyone,0
lol you guys are so bad,1
easy win gg team,0
You FUCK ARE hopeless,1
"gg ez, well played all",0
"fucking game man, I'm done",1
let's win this team,0
"report kunkka, no help",1
anyone want to go mid?,0
why you feed like this?,1
"great game, nice work everyone",0
srsly stop feeding ugh,1
lol dis game so easy,0
wtf I can't even kill alone,1
my team is doing great!,0
how u wanna win? step up!,1
"I speak up, you give up",0
you fucking suck at mid,1
can we report kunkka pls?,0
"gg guys, close game!",0
fucking done with this team,1
I can't believe this game,1
"gg, let's keep it positive!",0
"stop feeding, seriously",1
mid is pretty easy this time,0
"you, fucking player",1
"nice job team, nice win",0
you give up too soon,0
"report, please",1
I think you should go offlane,0
"lol, that was intense!",0
gg wp everyone,0
fucking game is done,1
can you help mid lane?,0
YOU ARE SO BAD,1
report please,0
I can't believe this game,0
you honestly deserve a win,0
fucking hate you,1
my team is trash,1
let's beat them easy,0
GG wp team!,0
Fucking game so bad,1
"Report please, Kunkka",1
"Easy mid, like I said",0
I hate this game!,1
You deserve a pause,0
You can't even play,1
What a great play guys,0
LOL skill issue,1
I want to win this!,0
"can u pls report kunkka, feeding like crazy",0
wtf r u doing? play the game!,1
"gg guys, well played!",0
"the game is done, u all suck",1
"lol, 20 minutes of this? painful...",0
"nice try, but ur shit Fiend XD",1
let's win? i believe in us!,0
"YOU FUCKING NOOBS, WHAT WAS THAT?",1
"mid is easy, just like i thought",0
"can't even play, so bad",1
you need to play better man,0
fucking game is so hard,1
"good job, we got this team",0
why you sucking at mid?,1
let's win this game guys,0
I can't believe you fed again,1
thanks for the help top lane,0
report this dude please,1
you play like a 20-minute noob,1
"nice play, that was awesome",0
gg wp everyone,0
omg u guys r so bad,1
can we focus mid pls,0
wtf I can't even,1
nice save ty,0
You ARE the worst player,1
team play better next time,0
stop feeding omg,1
I want to win guys,0
fucking game is done,1
give me a hand mid pls,0
I can't believe this team is so bad,1
gg easy game,0
stop feeding you dumb,1
can you help top lane?,0
I swear this game is fucking dumb,1
"come on guys, we can still win!",0
what a bunch of idiots omg,1
"nice play, let's keep it going",0
"you suck so much, it's 20 mins and done",1
I think this is a good game,0
Fucking done with this game,1
"Easy mid, like a champ!",0
"You can't even play, lol",1
"Let's win this one, team!",0
"Report this guy, please",1
"Dude, you are doing great",0
I can't handle playing with you,1
"Game is so easy, nice job my team",0
10 mins in and already fucked,1
I think I want to win?,0
You are fucking bad,1
Can we get mid? Easy win,0
Your game is so fucking done,1
"Please report, gg",0
I can't even handle this lol,0
"Get out of my lane, shit player",1
"Nice game, easy teamwork",0
"You deserve to lose, idiot",1
"Sniper mid, like the pros",0
yo help mid pls,0
I fucking hate this game,1
gg and well played all,0
can u get wards?,0
YOU ARE FUCKING USELESS,1
"nice one team, let's win",0
I think you suck,1
report this feeder pls,1
"we got this, stay strong",0
so done with ur shit,1
I can't believe this fucking game...,1
