match_id,player_name,player_chat,action
22398,JCamz,nice lighting bolt zeus. report all of you. clock*,NOT-PROSOCIAL
26872,zua halucynka.,ty,PROSOCIAL
24083,cnywad,ggwp,PROSOCIAL
47512,StartWithA.BANG,LOL . Ez,NOT-PROSOCIAL
22039,Sol'ka,sry. ggwp,PROSOCIAL
20244,"PiKaChu ""no freinds""",u guys are good but im pro,UNCLEAR
38201,"3,5",idiot,NOT-PROSOCIAL
9987,[BnT]Nightmare,hahah. LOL. funny shit. i can say. wtf is bkb. hahah. you frst,UNCLEAR
25020,ℕﯤﺖﮢﯔﭫﮱ | eyestri,xDDDDD. rly?. gege. lol. throne attacked. idiots. xD,NOT-PROSOCIAL
15818,ChubbyBunny<3,reconnecting. awts. zzz. if you are pro then wait . play fairly. life is unfair when evil exist :. :p. reconnecting. you'll regret,UNCLEAR
32322,"""Rocio"" ツ",eyy juger. no salis de ahy so mierdas,NOT-PROSOCIAL
35029,Tylos,ty. i will reset my pc. why,UNCLEAR
7491,4K Só TEM NOOB,end. end. cry. ganho mais. chora. legal. passa o dia jogando isso. parabens. ganhou oq com isso. nuub,NOT-PROSOCIAL
11934,Crio_J 진마왕,2 vs 8 XD. said. 1 13 . 4 12. XDDDD,UNCLEAR
48157,Arnold Twerkzenegger,ggwp,PROSOCIAL
35515,ShTfearless,pls. report doom. moron and brainless. and little girl,NOT-PROSOCIAL
46343,dani,whats happenin playa. rekt,NOT-PROSOCIAL
36470,Killer,alxim report plz. gg. nice alximik we have. its not real to win. skazali suka mantu i gorelku soberi. on daun. report alximu plz. repot alximika,NOT-PROSOCIAL
48905,noogman,no?. had almost full mana?. timber carry imba. no hex. just ff report timber,NOT-PROSOCIAL
18893,LunCai,gg. idioy zeus,NOT-PROSOCIAL
43047,suckmeoff,fuck off mate. BAAHAHA. yeah i know. thought he was gonna take it. dat tower range. why arnt you farming am. AHAHAHAH. fuck you zues. WWEEEEEEEL. >>>>>>>. FUCCCCCCK. FUCKKKK. WTF. RACKKKKKKS. GG BOYS. YEAASASSS. GG. FUCKING GG,NOT-PROSOCIAL
39370,Denis♡,imba. no no no. not ez. gg. hard line wisp and husk. nice,PROSOCIAL
33923,Nil,well you guys are obviously a stack. well there might be a booster shit among you. gg try hard booster shit ,NOT-PROSOCIAL
47440,Kal_3L,GO ROSH. oooops. YOU ARE A THOUGH GUY. HUH?. true. Cya in fight. nigga. only. TY. gg. leave. you cant win against 9k invoker. STONEHARDER. though now?. HE IS NOT AFK. O.o,NOT-PROSOCIAL
28834,KoiL,space created. ?. esperen hdps'. :D,UNCLEAR
27413,baKKhus,gg,PROSOCIAL
23845,Zyhm,gg,PROSOCIAL
486,NB,NOOOOOOOOOOOOO. omg sir hard game. :L,UNCLEAR
22722,Je'W.Danny Dorito,gg. fuck your icy tits. lina is my whore. haha . 2 fast 4 you icy tits. gg,NOT-PROSOCIAL
12100,Mr.Realguy,english?. double penetration,NOT-PROSOCIAL
23756,Bewbarmak,gg,PROSOCIAL
15312,AC3,funniest team chat ever,UNCLEAR
12420,GG.Green Tea,ez. iam lae. ez,NOT-PROSOCIAL
5880,smurfing 4k acc,why idk. nice wr. omg. stop. wr pls. mercy. im sure can i carrie this shit. roflmaoe. classci. absoutly. u won top. wp we. wr,UNCLEAR
49930,Cptn.Canuck,ggwp,PROSOCIAL
674,avskz,gg. push it in bebe,PROSOCIAL
7577,bjchu92,?. wut,UNCLEAR
47102,fiera,:P. .i.. REPORT SLARK . PLEASE. 4-10,NOT-PROSOCIAL
25854,MMR IS REAL LIFE,ez. :d. oups. gg,UNCLEAR
49490,Kun.,that cri,UNCLEAR
43827,GOKIL,?. Gg,PROSOCIAL
43762,panicman,space create..... d,UNCLEAR
37657,nightfury,GG. haha,PROSOCIAL
32120,GG.MADAfaka,ty,PROSOCIAL
38149,rVn,how long?. .... g?,UNCLEAR
12544,Aurora,dang. dang. 1 reconnected 1 disconnected. are you he-man ?. no. get rid of qop. NO. WAY. i go get breakfast. anyone wanna join /. DANTIT,UNCLEAR
46364,Farbror Björn,U2 friend. ?,UNCLEAR
22787,dondo,gg,PROSOCIAL
46200,midgate,can u rpeort this jugg guys?. well u got this. 4v5. isnt a match. LOL. 20 creeps and he ulti. FOR FUCK SAKE REPORT THSI NOOB. nice rat game. ez to do with this 'carry'. u suck . what there is to explain. u fucked our game. u think?. 1k mmr jugg. ur a nobody,NOT-PROSOCIAL
28403,Kingslayer,report please. bg,UNCLEAR
8743,[3K] MiMi,good,UNCLEAR
47043,Slain,gg. gg,PROSOCIAL
19510,black nigga,gangbanged. lols. u should riki. hide. weak,NOT-PROSOCIAL
14542,32123,wait. pls. respect. two min. son dos min de respeto tio. se a ido a traer el cafe. asi estamos. report. va a netraR?. lol. ya fue ps. no lo vamos a reportar. ya fuye ps tio. zz. el tiempo se a agotado. toy back. nro para contratos: 947002020,UNCLEAR
36779,Fidus,ez 400g =),NOT-PROSOCIAL
38268,96play,XDDD. xdd,UNCLEAR
43870,b0die,sec :). VP VG score >?. anyone ?. i see. faperino. all dayerino. gege,UNCLEAR
31712,'(630) ',fuck shh. ?. tnx. thanks. gg ursa. gg ez ursa. comend me . gg ursa,UNCLEAR
49640,Mary Jane,thank you?. gg,PROSOCIAL
37128,SLR,Ez. so easy game. nooobs. gg. and ez. no just so ez. noobs dont play mmr,NOT-PROSOCIAL
36036,FUN,Now whatr. yeah . XD. SURE. 0 20 0. Wtf . agiant clock xd. wrt. gg. retard walks into rocket vision . and says they have wards everywhere. XD. yeah go hook role 6 sup[port. and styill win figth. Only wioth rus pigs in tem,NOT-PROSOCIAL
6816,BanksC,"Un momento. Porque?. Pince gringo. Vete a la verga, puto",NOT-PROSOCIAL
40878,kyelgaming,haa,UNCLEAR
18103,Shizat,gg,PROSOCIAL
2071,@Sufocante,WP. GG,PROSOCIAL
7377,A.SY8,:). ). wp. gl next,PROSOCIAL
47262,Leave me Alone,he said w8,UNCLEAR
48202,Oty,g. delay,UNCLEAR
10115,Honey^,gg,PROSOCIAL
40507,Abradolf Lincler,lo lwtf. says the guy in 3k,NOT-PROSOCIAL
4349,巨型鸡巴,gg wp,PROSOCIAL
4553,ГИДРОПИДАР,FUCK U. ur moms pussy is so tasty. so mf easy. asf. i wish to see ur mom without panties. cumbag,NOT-PROSOCIAL
