messages,labels
"""lol u gay"". ""play better"". ""gay strat"". ""lol no skill"". ""aim bot"". ""gay team"". ""sad play"". ""lol git rekt"". ""easy win"". ""gay camping"". ""ur trash"". ""lol scrub""",0
"""noob team"". ""ur trash"". ""noob move"". ""gg gaylord"". ""git gud"". ""cry harder"". ""nice try"". ""skillless team"". ""team noob"". ""learn 2 play"". ""carry team"". ""git lost""",0
"""U trash"". ""Team sucks"". ""Play better"". ""WTF, noobs"". ""Trash aim"". ""Team, move!"". ""U trash"". ""Can't play"". ""Get gud"". ""Trash team"". ""Move, idiots!"". ""U suck""",0
"""Lol ok"". ""Near me"". ""Ok trash"". ""Lol u"". ""Lol near"". ""Lol ok"". ""Sure lol"". ""Lol near"". ""Ok lol"". ""Haha, ok"". ""Sure near"". ""Ok lol""",1
"""you bad"". ""dont camp"". ""gay play"". ""so bad"". ""dont rush"". ""rubbish aim"". ""you suck"". ""stop try"". ""dumb plays"". ""git gud"". ""no skills"". ""why hide""",0
"""xd noob"". ""like you?"". ""ass move"". ""lmao kid"". ""xd scared?"". ""u wish"". ""like ur mom"". ""ez pz"". ""xd scrub"". ""cry more"". ""like u?"". ""gg ez""",0
"""stfu noob"". ""lmao git gud"". ""team trash"". ""stfu camper"". ""lmao u suck"". ""no skill"". ""stfu kid"". ""ur bad"". ""trash aim"". ""lmao loser"". ""stfu pleb"". ""hate u""",0
"""u ded lol"". ""help noob urself"". ""come bot"". ""no hardscope"". ""pls aim"". ""come hlp"". ""learn map"". ""need help"". ""lol team"". ""come snp"". ""need cover"". ""omg bad""",1
"""Need ammo?"". ""Ping here"". ""Good shot!"". ""Let's land"". ""Cover me"". ""On your six"". ""Revive you"". ""Solid plan?"". ""Need backup"". ""Flank them"". ""Great teamwork"". ""Go left""",1
"""lol noob"". ""ez kill"". ""lmao camper"". ""whatever noob"". ""lol sure"". ""don't care"". ""waste time"". ""haha lame"". ""not my prob"". ""ez pz"". ""lol carried"". ""whatever scrub""",0
"""noob alert"". ""u gay?"". ""dont b dumb"". ""haahah noob"". ""u trash"". ""aim bot?"". ""git rekt!"". ""wtf camper"". ""learn game"". ""noob reset"". ""miss much?"". ""ez win""",0
"""lmao scrub"". ""stfu noob"". ""dont die"". ""git gud"". ""lmao ok"". ""dont cry"". ""not impressed"". ""git mad"". ""lol nope"". ""stfu now"". ""cant aim"". ""try harder""",0
"""lol noob"". ""get gud"". ""u ded"". ""noob lol"". ""nice try"". ""ez win"". ""git rekt"". ""lol fail"". ""too slow"". ""no chance"". ""lol trash"". ""stay bad""",0
"""stfu trash"". ""team sucks"". ""haha easy"". ""keep crying"". ""stfu lose"". ""u wish"". ""still bad"". ""just stop"". ""ur sad"". ""big mad"". ""haha team"". ""keep losing""",0
"""Need ammo?"". ""Haha, okay"". ""Nice shot!"". ""Sorry, will stay back"". ""Covering you"". ""Watch left"". ""I got medkit"". ""Yeah! On me"". ""UAV up!"". ""Let's flank"". ""Need help?"". ""I'll stay close"". ""Got your 6"". ""Haha, chill"". ""Sniper NW"". ""Hold back"". ""Reloading"". ""Thanks 4 info"". ""Push together?"". ""We got this!"". ""GG team!"". ""Haha, next time"". ""Let's regroup"". ""Haha, okay""",1
