chat,label
"Hey team, let's have a great game. I'll go offlane Pudge. Remember to ward and call missing. Good luck!",1
Can someone buy a courier please. I’ll go pos 5 Crystal Maiden and support. Warding is important so let's keep them up.,1
Nice job mid! Keep the pressure on their T1 tower. I'll rotate to help you secure kills. Keep it up team.,1
Don't forget Roshan is up soon. Let's group up at 20 min for a smoke gank. We got this!,1
Great teamwork everyone! Let's push down mid after winning that team fight. Keep the momentum going!,1
"OMG can you stop feeding. Seriously, this Invoker is trash. Learn to play or just uninstall the game bitch.",-1
WTF are you doing pos 5. Buy some wards you useless shit. I'm not playing a babysitter for this team.,-1
"Typical Pudge, zero map awareness and misses every hook. You're fucking useless!",-1
Can anyone on this team actually play properly. This is a fucking disaster. Just end it already.,-1
"Good job Invoker, not using your skills when needed. Can't believe I'm paired with such idiots.",-1
glhf team. I'll be playing Crystal Maiden as pos 5. Let's ward aggressively and control Roshan. Remember to communicate when enemies are missing from lanes.,1
"Yo Pudge, why are you feeding man. Stop being such a useless piece of shit. Do something or stay fountain. fucking waste of time.",-1
"Nice work on securing T1 mid, guys. I'm building a Blink next, so we'll be ready for big team fights. Keep the pressure on them.",1
"Hey pos 4, stop KS'ing. I'm the carry, Invoker needs the farm more. Get a BKB and stop dying like a noob bitch.",-1
"Great initiation on that last team fight, Axe. Let's push the mid lane and end this quickly. Keep up the good work, everyone.",1
"WTF AM I SUPPOSED TO DO WHEN NO ONE WARDS. Buy some wards, you lazy idiots. I'm not babysitting your sorry asses all game.",-1
"Thanks for rotating, Luna. That gank really helped secure my lane. Let me know if you need backup in the offlane.",1
"Are you blind, Slark. I pinged Roshan five times, you moron. Do you even have a brain, or is it just for show. Fuck this team.",-1
"Good call on rushing Roshan, Spectre. That was a smart move. Let's group and take top tower next.",1
"Juggernaut, you're a fucking joke. Buy a TP and do something about the split push, dumbass. Can't believe I queued with this shit team.",-1
glhf everyone. I'll play carry. Let's secure that Roshan before 20 min. Good job on the T1 top push.,1
wtf Invoker. you missed all your spells again. learn to fucking play bitch. report.,-1
Can we get some wards around Roshan? Save smokes for important plays. We can do it team.,1
"Pudge, you're garbage, feeding again. How are you so bad even on free farm.",-1
"Nice ult, Crystal Maiden! Perfect timing on that Blink initiation. We can push mid now.",1
"Stop diving, pos 5. Seriously, know your damn role. You're just a liability.",-1
"Good decisions, guys. Let's push T2 bot together after we take Roshan. Excellent teamplay!",1
Oh my fucking god Juggernaut! Use your spin! You're useless.,-1
"Well played on that mid gank. Let's keep the pressure up, pos 3 stay with me top.",1
"Hey Lina, how about not missing stuns 10 times in a row? You're shit.",-1
"Hey team, glhf. I'll support as Crystal Maiden. Let's control Rosh early. Need wards near T1 mid.",1
"Come on, can someone PLEASE help with vision. Just give me some wards. Stop feeding Pudge, it's ridiculous.",-1
"Nice work in that fight. Let's push now while they're dead. Invoker, you're doing great mid.",1
"What the hell is our mid doing. Invoker can't even land a single Combo. Learn to play, seriously.",-1
"Hey, let's focus and group up for Rosh after this wave. Pos 5 here, I'll get wards up.",1
