messages,labels
srsly gg ez game,0
omg r u blind?,1
nice ulti bro!,0
can u stop feeding pls?,1
"keep it up, team!",0
uninstall plz noob,1
"such a close match, wp all",0
u afk or just bad?,1
appreciate the help!,0
trash team...,1
nice play there,0
feed more noob,1
we got this team!,0
ur trash stay base,1
amazing job guys!,0
omg uninstall plz,1
keep pushing mid,0
y r u so bad lol,1
let's go for rosh,0
u useless,1
omg learn 2 play,1
"nice play there, wp!",0
ur a complete joke,1
let's focus and win this,0
u r so bad wtf,1
great comeback team!,0
ks again and i report,1
thx for the save bro,0
"ez game, trash players",1
"gg everyone, fun match",0
omg ur trash lmao,1
"nice play, wp team!",0
y r u feeding dude?,1
"gj bot, keep it up!",0
"noob team, uninstall",1
thanks for the save!,0
report this idiot pls,1
"we got this, no worry",0
stfu and play better,1
"well done mid, solid!",0
omg u n00b,1
"nice play dude, wp",0
stop feeding omg,1
tl;dr ez game lol,0
wtf r u doin??,1
"gj team, we rly pulled thru",0
ur the worst,1
"let's go team, we got this",0
report this idiot,1
so much fun! ggwp,0
gj team wp,0
ur such a noob omg,1
nice ult bro!,0
stfu and play the game,1
"we got this, don't give up!",0
stop feeding plz,1
ez game ez life,0
u suck so hard lol,1
great comeback guys!,0
y r u even playing?,1
"ez game, u noobs",1
nice play! wp everyone!,0
stop feeding noob,1
"great support dude, ty",0
u all r so bad,1
teamwork op! gg guys,0
wats wrong with u idiots?,1
"awesome stun, gj!",0
lol uninstall pls,1
"let's do dis, gl hf",0
"nice ult, wp team",0
stupid noob can't last hit,1
lol dat was epic,0
"stop feeding, r u blind?",1
"best support ever, thx!",0
wtf are u doing mid??,1
thanks for the save!,0
go uninstall dude,1
"careful top, incoming gank",0
"u r trash, git gud",1
can't believe u missed that hook bro,1
"nice try, we got this team :)",0
stop feeding omg r u dumb?,1
great save! keep it up,0
"wtf r u doing, uninstall plz",1
"lol that was a close one, gg",0
report this noob afk jungling,1
"sorry for bad game, i'll improve",0
ur so trash lmao git gud,1
amazing play! let's push now,0
srsly need wards guys,0
omg ur so bad,1
gj team!!,0
stop feeding n00b,1
ty for heal <3,0
u guys r trash,1
nice ulti dude!,0
just uninstall plz,1
push mid 4 win,0
reported enjoy ban,1
srsly u call that a gank? wow,1
gj bot! keep it up team!,0
report this noob pls,1
ward up and we got this!,0
u guys are trash lol,1
"incredible play mid, wp!",0
"stop feeding, useless",1
"we can win, just push!",0
omg uninstall the game,1
"stay positive, we got late game",0
lol u call that a gank?,1
nice play team!!,0
omg uninstall the game,1
"sry for the miss, my bad!",0
ur such a noob,1
great teamwork guys,0
feeder af,1
thx for the save!,0
stop crying noob,1
well played everyone,0
srsly noob team wtf u doing,1
"nice save bro, wp",0
stfu useless feeder,1
"gg lads, well played",0
omg go uninstall pls,1
"close game, we almost had it!",0
learn 2 play idiot,1
"ty for the help, appreciated!",0
"ur trash, report pls",1
great teamwork guys!,0
wtf r u doin??,1
nice hook pudge!! :D,0
stop feeding u noob,1
"gj team, wp",0
u guys suck at this game,1
ty for the save,0
lagging so bad rn,0
"u r trash, uninstall",1
"let's push mid, gogogo",0
report this idiot plz,1
ez game noobs lol,1
great teamwork guys!,0
"this sniper lmao, uninstall plz",1
thx for the help top,0
u guys r bots,1
"nice comeback, wp",0
stop feeding dude omg,1
"well played, gg",0
can we focus pls?,0
report mid afk,1
"ez game, report jg",1
"nice plays, team!",0
why u feed bro?,1
"killin it mid, gj",0
"useless sups, afk pls",1
ty for the heals,0
wtf r u doing? uninstall,1
"that gank was sick, wp",0
"gg, well played all",0
bot lane feeding smh,1
wow u rly trash man,1
"gj team, wp <3",0
stop feeding omg,1
ty for the help mate!,0
"ur all so bad, uninstall plz",1
can we group up and push?,0
fighting like bots smh,1
nice save dude!,0
learn to play noob,1
"great rotation, let's keep it up",0
srsly buy wards,1
nice gank mid,0
stop feeding noob,1
ez game guys :),0
wtf are u doing,1
well played team!,0
this invoker is trash,1
thanks for the save!,0
ugh report this guy,1
glhf all,0
"ez game, gg wp",0
support so trash omg,1
ty for the save bro!,0
uninstall and never return pls,1
we can still win this guys!,0
stop feeding u noob,1
"nice ult, that was clutch!",0
mid is a joke lol,1
let's push top together,0
ur mom teach u to play like that?,1
lol ez game bois,0
kys feeder,1
"good job mid, keep it up",0
report dis noob pls,1
"sry for bad start, we got this",0
ur garbage uninstall,1
"nice try, we'll get 'em next time",0
ffs stop feeding,1
"wp team, let's push",0
u rly need to quit dota,1
why r u feeding omg,1
nice play mid!,0
u r so useless man,1
great teamwork guys,0
pls stop rushing alone,0
