message,label,player,special_token_message,match,translated_message,sanitized_translated_message
репорт инвока,,1,[Team0][Player1]: репорт инвока,41,"""report invoker""",report invoker
фидит курой,,1,[Team0][Player1]: фидит курой,41,"""Feeding with the courier""",Feeding with the courier
+ слил мид,,1,[Team0][Player1]: + слил мид,41,"""+ threw mid""","""+ threw mid"""
Ez mid,,1,[Team0][Player1]: Ez mid,41,Easy mid,Easy mid
пидор,,7,[Team1][Player2]: пидор,41,"""faggot""",******
там мартышка,,3,[Team0][Player3]: там мартышка,41,"""there's a monkey""",there's a monkey
снайпер как тебе наш мидер?,,1,[Team0][Player1]: снайпер как тебе наш мидер?,41,"""Sniper, how do you like our mid player?""","Sniper, how do you like our mid player?"
трупы вы все парни,,2,[Team0][Player2]: трупы вы все парни,41,"""You're all corpses, guys""","You're all *******, guys"
неплохо,,9,[Team1][Player4]: неплохо,41,"""Not bad""",Not bad
lol,,6,[Team1][Player1]: lol,41,lol,lol
он 1 раз спасался если бы ещё сейв тп было,,9,[Team1][Player4]: он 1 раз спасался если бы ещё сейв тп было,41,"""he saved himself once, if only there was another save tp""","he saved himself once, if only there was another save tp"
то норм было бы,,9,[Team1][Player4]: то норм было бы,41,"""then it would be fine""",then it would be fine
он вместе с тини играет,,1,[Team0][Player1]: он вместе с тини играет,41,"""he plays together with Tiny""",he plays together with Tiny
два долбаеба,x,1,[Team0][Player1]: два долбаеба,41,"""two dumbasses""",two d***asses
hello kratos,,1,[Team0][Player1]: hello kratos,39,Hello Kratos,Hello Kratos
i hope you enjoy the game,,1,[Team0][Player1]: i hope you enjoy the game,39,I hope you enjoy the game.,I hope you enjoy the game.
zzz,,9,[Team1][Player4]: zzz,39,zzz,zzz
oh kratos,,1,[Team0][Player1]: oh kratos,39,oh kratos,oh kratos
not in jungle?,,1,[Team0][Player1]: not in jungle?,39,"""not in jungle?""",not in jungle?
HAHAHAHA,,1,[Team0][Player1]: HAHAHAHA,39,HAHAHAHA,HAHAHAHA
pure shit,,1,[Team0][Player1]: pure shit,39,pure shit,pure ****
whats wrong pussy,x,1,[Team0][Player1]: whats wrong pussy,39,"""what's wrong pussy""",what's wrong p****
LOL,,1,[Team0][Player1]: LOL,39,LOL,LOL
no team,,9,[Team1][Player4]: no team,39,no team,no team
lol,,9,[Team1][Player4]: lol,39,lol,lol
how does it feel kratos fag,x,1,[Team0][Player1]: how does it feel kratos fag,39,"""how does it feel Kratos fag""","""how does it feel Kratos ***"""
yeah jugg threw in our game too,,1,[Team0][Player1]: yeah jugg threw in our game too,39,"""yeah jugg threw in our game too""",yeah jugg threw in our game too
we had him last game,,1,[Team0][Player1]: we had him last game,39,"""we had him last game""",we had him last game
he told us suck a dick,,1,[Team0][Player1]: he told us suck a dick,39,"""he told us to suck a dick""",he told us to s*** a d***
but how hes sucking mine,x,1,[Team0][Player1]: but how hes sucking mine,39,"""but now he's sucking mine""","""but now he's s***** mine"""
i have no team end this,,9,[Team1][Player4]: i have no team end this,39,"""I have no team, end this.""","I have no team, end this."
end,,9,[Team1][Player4]: end,39,end,end
how does it feel faggot,x,1,[Team0][Player1]: how does it feel faggot,39,"""how does it feel, faggot""","how does it feel, ******"
MISSLES!,,9,[Team1][Player4]: MISSLES!,39,MISSILES!,MISSILES!
end =),,9,[Team1][Player4]: end =),39,end =),end =)
missles indeed,,0,[Team0][Player0]: missles indeed,39,missiles indeed,missiles indeed
lol,,9,[Team1][Player4]: lol,39,lol,lol
gg tyu,,3,[Team0][Player3]: gg tyu,39,"""gg tyu""",gg ***
gg,,4,[Team0][Player4]: gg,39,gg,gg
thank you,,0,[Team0][Player0]: thank you,39,Thank you,Thank you
enjoy your anal rimming,x,1,[Team0][Player1]: enjoy your anal rimming,39,enjoy your anal rimming,enjoy your ***l rimming
gg,,0,[Team0][Player0]: gg,39,gg,gg
commend,,4,[Team0][Player4]: commend,39,commend,commend
fucking faggot krratos,x,1,[Team0][Player1]: fucking faggot krratos,39,"""fucking faggot krratos""",f***ing f***** krratos
?,,3,[Team0][Player3]: ?,13,?,?
dont pause for nothing,,3,[Team0][Player3]: dont pause for nothing,13,"""don't pause for nothing""",don't pause for nothing
disucssing,,8,[Team1][Player3]: disucssing,13,"""discussing""",discussing
tactical pause,,5,[Team1][Player0]: tactical pause,13,"""tactical pause""",tactical pause
kill,,8,[Team1][Player3]: kill,13,kill,kill
sry,,8,[Team1][Player3]: sry,13,sorry,sorry
wtf mid come back,,9,[Team1][Player4]: wtf mid come back,13,"""What the fuck, mid come back""","What the ****, mid come back"
}wtf,,3,[Team0][Player3]: }wtf,13,"""}wtf""",}***
wtf,,3,[Team0][Player3]: wtf,13,What the fuck,What the ****
woiwowowo,,3,[Team0][Player3]: woiwowowo,13,"""woiwowowo""",woiwowowo
:O,,7,[Team1][Player2]: :O,13,:O,:O
Lol,,8,[Team1][Player3]: Lol,13,Lol,Lol
ur pause,,8,[Team1][Player3]: ur pause,13,"""your pause""",your pause
lol,,4,[Team0][Player4]: lol,13,lol,lol
think,,0,[Team0][Player0]: think,13,think,think
gonna push more?,,3,[Team0][Player3]: gonna push more?,13,"""gonna push more?""",gonna push more?
