translated_message,label
"""faggot""",0
"""there's a monkey""",0
"""Sniper, how do you like our mid player?""",0
"""You're all corpses, guys""",0
"""Not bad""",0
lol,0
"""he saved himself once, if only there was another save tp""",0
"""then it would be fine""",0
"""he plays together with Tiny""",0
"""two dumbasses""",1
Hello Kratos,0
I hope you enjoy the game.,0
zzz,0
oh kratos,0
HAHAHAHA,0
pure shit,0
LOL,0
no team,0
"""how does it feel Kratos fag""",1
"""yeah jugg threw in our game too""",0
"""we had him last game""",0
"""but now he's sucking mine""",1
"""I have no team, end this.""",0
end,0
"""how does it feel, faggot""",1
MISSILES!,0
end =),0
lol,0
"""gg tyu""",0
commend,0
"""fucking faggot krratos""",1
"""don't pause for nothing""",0
"""discussing""",0
kill,0
sorry,0
"""}wtf""",0
What the fuck,0
:O,0
Lol,0
"""your pause""",0
think,0
"""gonna push more?""",0
end,0
"""can you people push""",0
"""you don't defend""",0
"""i have to go to another game""",0
COMMend us,0
lol storm,0
Haha,0
wow,0
easy game,0
gg,0
Easy mid,0
==,0
super easy,0
EZ MID,0
haha,0
EZ MID,0
laughing my ass off,0
is he coming,0
no,0
"""Juggernaut, calm down.""",0
I will report Jug.,0
100%,0
"""+""",0
What's his problem?,0
"""he is a virgin""",0
XD,0
"""I will report every void picker""",0
ha,0
"""from now on""",0
"""omg this game""",0
XD,0
"""Chaos Knight is high I am sure""",0
"""What's happening""",0
NOT ALL VOID PLAYERS,0
XD,0
HAH,0
x),0
The message is already in English.,0
"""pre-muted SD xD""",0
"""i saw you missing that creep score, Jugg...""",0
come on..,0
ooooh,0
"""you can go mid""",0
"""and push?""",0
"""My carry is going to be a dickhead and farm the jungle anyway.""",0
"""He joined ranked to not give a fuck""",0
=),0
"""Am I to blame?""",0
lol,0
yes,0
"""you are to blame""",0
"""HIT""",0
"""why are you running""",0
HA,0
"""I'LL GO""",0
DIVINE,0
"""go feed""",0
Xd,0
"""SHIT""",0
The message is already in English.,0
"""haha""",0
"""6-26 combined between three of you""",0
hahaha,0
"""nice xmark""",0
jackpot,0
"""where?""",0
haha,0
I love you.,0
"""why did you die?""",0
I didn't see you.,0
love bro,0
SAD,0
Kunkka lord,0
shut up noob carry,0
"""SWAP COMMEND""",0
SWAP COMMEND,0
SWAP COMMEND,0
"""this noob Kunkka""",0
"""dr?""",0
HASHAHAHA,0
Bye,0
wow,0
"""what bye?""",0
"""cry""",0
FACELESS VOID,0
WHY?,0
"""why hate me""",0
"""you ENEMY NOOB""",0
HAHA,0
snipshit,0
Hahaha,0
sad,0
"""YOU NOOB SHIT""",1
"""haha silence can't cast""",0
gg,0
Easy,0
lol,0
"""What's the luck?""",0
"""Did you see how Traxex fucked off from under my ult?""",0
no,0
"""then go fuck yourself""",1
"""Slot is taken""",0
"""easy gank""",0
"""mid""",0
"""Good luck, have fun""",0
wait please,0
lol,0
"""YOU SON OF A BITCH""",1
"""26 assists""",0
Why?,0
"""easy legion start pro""",0
easy,0
gg,0
"""easy Pudge and Sniper""",0
ez Peru,1
"""Can't you solo, dude?""",0
"""hahaha what happened pudge?""",0
"""What happened, Pudge?""",0
"""Did I kill you?""",0
