messages,labels
"""hey! u ready?"". ""drop at farm?"". ""watch tower?"". ""sniper on the roof!"". ""grrrr got me!"". ""respwn n comin back"". ""brb need loot"". ""thx! grabbing it"". ""yes go"". ""where?"". ""going in"". ""nice!"". ""gotcha"". ""good job!!"". ""that wz intense lol"". ""keep moving"". ""left side clear"". ""get cover"". ""gg!!"". ""thx haha"". ""let’s go"". ""eyes on it"". ""ggwp!""",0
"""yep let's do this!"". ""farm is hot! but ok"". ""yul! on it"". ""omg seen it thx"". ""nooo hang on!"". ""kk imma try to hold"". ""i c an ar upstairs"". ""wetake left flank?"". ""contact!"". ""by the trucks"". ""knockewd one!"". ""cover me reloadinggg"". ""clear now"". ""ye teamwork!"". ""ikr im sweating"". ""on your 6"". ""wait enemy!"". ""nades out!"". ""woooo nice throw"". ""push forward?"". ""see supply drop"". ""go go go"". ""yassss""",0
"""glhf team!"". ""haha let's do our best!"". ""srry just hyped, let's focus"". ""lol my bad, cover me im going left"". ""come on we can win this!"". ""i swear im trying!"". ""rgr that, moving in"". ""we got obj tho, nice work team!"". ""ggwp, gotta run but it was fun!"". ""il work on it!"". ""tc man, thx for the game anyway!""",0
"""omfg not another noob..."". ""bruh u cant even spell 'best'"". ""focUUUs?? wht r u even talkin abt, ur so bad lmao"". ""nah u go left, get rekt faster"". ""maybe if ur afk lol"". ""try harder or dont bother"". ""omg ur a bullet magnet"". ""who needs obj when kills r what counts"". ""whatever, dont come back unless u learn to play"". ""yeah yeah, seen it all b4"". ""w/e n00b""",1
"""omggg u suck, cant u aim???"". ""ur trash bro lmaoooo"". ""how bout u uninstall ur ego big noob"". ""stfu my ping is like 200 blame the lag"". ""1v1 me then, scrub"". ""bring it, noob lord"". ""cry more, my strat is pro, ur just jelly"". ""better than running like a headless chicken"". ""gl w/ those potato shots"". ""gg ez, git outta my lobby""",1
"""lol says the one who cant hit a barn"". ""get gud kid, uninstall"". ""ur kdr is a joke, like .05 lmaoooo"". ""always excuses from babiesssss"". ""anytime, imma wreck u easy"". ""bet you'll camp like u always do"". ""strats? hahah just hiding in corners"". ""thats rich coming from a bot"". ""says the potato farmer himself"". ""nah, I'm here 2 stay, cry more""",1
"""omg n00b y u even in this lobby!!!"". ""pls i got more kiills than u last match"". ""git gud or git out!!"". ""lol u gonna cry when i destroy u"". ""u say that every time just 2 get rekt again lmao"". ""ur all talk, no game, trash af"". ""no recoil hacker !! reporiting ur ass"". ""just leave b4 u embarass urslf further"". ""kinda sus how u never miss hmmm"". ""this is bad comedy, atleast b funny nxt time"". ""uninstall pls, doing us all afavor""",1
"""stfu ur not even doing better, scrub"". ""yeah right, u just camp in corner lick a coward lol"". ""ur such a joke, man, 1v1 me, see what happens"". ""pure luck last game, gonna mop floor wit ur tears"". ""dude, u got zero skills, u need dat aim assist or wut?"". ""ur mom complains less than u do, jeez"". ""lol ur just mad i knifed u 5x in a row"". ""nah, i like watching u fail epically"". ""git gud, maybe ull see my skillz"". ""ur aim is worse than my lag, ggwp scrub""",1
"""hey team, ready to push obj?"". ""nah, we got this! let's go left?"". ""cmon, positive vibes! we got skills"". ""we can call UAV for advantage"". ""info is power! we can take them by surprise :)"". ""covering fire in 3...2...1... go!"". ""just prepped for the push, let's go b!"". ""teamwork makes dream work!"". ""let’s just have fun, it’s just a game"". ""haha, fair enough, let’s make a comeback!"". ""let's prove 'em wrong, bring the heat!"". ""low blow! but i'll do better, promise"". ""we gotta stick together, that's how we win!"". ""i'll give it my best shot, thanks for the tip!""",0
"""bruh, u all trash, no point pushing"". ""lol good luck, gonna be ez 4 them"". ""nah, u all just noobs, gg idiots"". ""UAV??? wtf u think thts gonna do? lol"". ""info aint gonna save u when ur aim sucks"". ""idiot, wasted bullets, gg, uninstall"". ""pfft, whatever, gonna carry ur noob asses"". ""nah, ur all dead weight anyway"". ""fun? winning is fun u clown"". ""yea right, as if u can even manage that"". ""doubt it, ur aim is potato level"". ""won't matter with these scrubs on team, lol"". ""whatever, just don't choke again, noob""",1
"""omfg u noob wth was tht?!!"". ""ur trash bro, learn2play"". ""srsly? stop camping and do smth useful!!"". ""def team better w/out u, gtfo"". ""team up?? nah ur bad"". ""ffs, AGAIN!!! this sux"". ""u blind or sumthin? open ur eyes!"". ""l2aim properly ffs"". ""kdr kdrrrr keep ruinng it omg"". ""needa carry bcz ur useless"". ""ya sure lol w/e""",1
