messages,labels
I'm reporting u aftr game,1
"nice play team, wp!",0
wtf r u doin?,1
"keep it up, ur doing gr8!",0
lol uninstall pls,1
any tips for mid lane?,0
"u suck, srsly",1
"thx 4 the help, appreciate it",0
go back to tutorial,1
"gj everyone, we got this",0
ez noobs lol,1
"nice play, team!",0
why u feed bro???,1
"gj everyone, wp!",0
can u stop dying pls,1
we got this guys!,0
fkin report him,1
thx for support <3,0
this is hopeless with u,1
"let's push mid, glhf!",0
ez game lol,0
stop feeding omg,1
nice play team :),0
u so bad at this,1
good job everyone!,0
wtf u doing???,1
keep it up guys!,0
can u pls focus...,1
awesome gank ty,0
why u so toxic man,1
"noob team, uninstall pls",1
"wp, let's get next one!",0
report this idiot,1
nice save tyvm!,0
ugh tryhard much?,1
can we group up and push?,0
"so bad, go play tetras",1
"great stun, carry on!",0
y r u even playing,1
"fun game, gg everyone",0
wtf r u doin????,1
"nice play, keep it up!",0
omg u guys r trash,1
"lol, that was funny :D",0
quit feeding n00b,1
"let's push mid, team!",0
reported 4 being useless,1
"stay safe, good healz!",0
"y'all suck, uninstall!",1
"tight game, well played all",0
y u feedin noob,1
nice wrk team!,0
pls stop ks my farm,1
gg wp guys,0
omg ur such a loser,1
"sry for bad start, lets win this",0
lmao git gud scrub,1
ty for support mid,0
"cant believe u did that, uninstall pls",1
awesome comeback team!!,0
"ez mid, stay mad",1
nice support ty :),0
stop feeding omg,1
sick plays bro!,0
wtf is dis team?,1
"good game, well played all",0
u all trash lol,1
let's push together next,0
report him afk pls,1
great teamwork guys!,0
omg report pls,1
"gj team, wp",0
u guys r so bad lol,1
can sum1 ward pls?,0
"feed more pls, its fun",1
ty for saving me!,0
"idc, just uninstall",1
nice ult!,0
"yall suck, gg",1
runes? anyone?,0
srsly can u stop feeding???,1
"nice ult man, we needed that!",0
omg report this noob pls,1
"great teamwork guys, wp",0
"ur so bad, uninstall plz",1
keep up the good support play!,0
"wtf was that move, idiot",1
let's push mid together,0
fking trash team,1
"awesome, we got this!",0
get a life loser,1
"nice play, wp team",0
why u even play this game,1
