messages,labels
"learn to play, you fucking shit. feeding like noobs. report pudge",1
"well-played everyone. just need more vision near mid. care top, missed them. that was fun. gg guys!",0
"fucking idiots, why no wards? all trash, can't play this game. learn to fucking support or uninstall. ",1
keep the pressure on top. bkb ready. let's push mid next. gg. ,0
"why are you guys afk in the base? stop being useless, go play something else noob.",1
you're fucking useless. uninstall now. what a shit game,1
stupid noob feeding again. why even play? report this idiot,1
stop feeding noob. where are wards? fuck this game. idiot mid. ,1
"great job pushing bot, team. bkb saved me there, thanks. keep eyes on mid, i'll ward. nice fight, let's push high ground. ",0
"learn to play, idiot. you're trash. report this feeder, afk jungle. this game is shit. team noob.",1
"wtf u doing at top, noob? learn to play or leave. everyone's feeding. report afk clinkz. ",1
gank mid now. ward the top please. nice job with that rosh. gg team. let’s push bot. wp everyone ,0
can you just uninstall you retard. every game you feed. such a noob player. so bad omg.,1
"omw mid, let's gank Luna. good warding, keep it up. wp team",0
amazing comeback team! let's get bkb and go for the win. remember to ward. ggwp!,0
another idiot picking sniper. stop being useless afk. you guys suck at this game. trash everywhere. ,1
nice deny mid. let's push bot with smokes. need more wards around rosh. gg and wp team!,0
"gg wp all. good job pushing mid. rosh is up, let's take it.",0
"why u play this game? uninstall, idiot. stop feeding, report you",1
"wp everybody. nice gank mid. let's take the tier 2. watch for rosh steal. we're doing great, gg ",0
"mid is open noob, can't u see? such a fucking idiot. stop feeding. report that asshole",1
mid missing. care bot. nice gank top. ward jungle. let's push mid. gg,0
"mid should gank bot soon. careful top, they're missing. good job with the wards. gg nice teamwork",0
"fucking retard, you just cost us the game. noob ass support. feed more, why don't you",1
you freaking idiot noob. learn to play before queuing. you're trash,1
you are useless. what the hell is that build? idiot playing. uninstall the game dude,1
"great job on that rosh. let's ward the jungle. care mid, they're missing. gg, awesome teamwork. ",0
awesome bkb timing. let's hold high ground. gg well played team,0
what the hell are you doing? trash player afk bot. report pls,1
"great teamwork top, keep it up. let's bkb and push. care for rosh, they might do it",0
"you're such an idiot, can't even land a stun. team full of clowns. feeding and afk, typical. gg trash",1
"lol you're all garbage. stop dying idiots, just defend once. report the slark. trash.",1
nice gank mid. let's push top now guys. well played jugger.,0
are you guys blind? enemy's in our jungle. such trash gameplay. stop feeding them. you're all idiots!,1
