player_chat,action
ty all,1
gg ez,1
GG!,1
"Well played, guys!",1
glhf everyone!,1
"nice play, lina",1
sick moves!,1
"learned a lot, thx",1
"cool strat, wp",1
that stun tho!,1
great save!,1
ggwp :D,1
:D gg,1
let's do this!,1
gg wp guys,1
commend jug,1
"not mad, wp lol",1
"first time pudge, gg",1
nice combo!,1
GG WP!,1
glhf,1
gg good night,1
"thx, wp",1
u guys rock,1
"so close, gg",1
thanks for the game,1
TEAMWORK!,1
glhf! :),1
lol wp,1
gg wp =),1
nicely done,1
so much fun :),1
gg all around,1
"no worries, gg",1
commend ta,1
nice idea!,1
good game well played!,1
good effort all,1
hahaha gg,1
gg wp,1
well done!,1
"wow, gg",1
gg team!,1
commend,1
nice try,1
lol wp!,1
keep it up,1
amazing game,1
ggwp,1
commend ww,1
wp mid,1
nice game all,1
gg wp all,1
good fight!,1
gl guys!,1
made my day,1
thanks and gg,1
thx 4 the game,1
"great job, team",1
you're all stars!,1
lol gg,1
glhf friends,1
gg wp,1
well played,1
wp team!,1
gj everyone,1
:) ggwp,1
"happy battles, gg!",1
owo gg wp,1
commend beast,1
GG WP,1
that was epic,1
amazing carry,1
GG!!,1
ty for the fun,1
nice teamplay!,1
gg wp bro,1
XD GG,1
hf all!,1
"much love, gg",1
gg no re,1
gg guys!,1
great synergy,1
gl ggwp,1
ahaha gg,1
well played :) gg,1
commend tinker,1
gg :),1
easy game,1
"enjoyed that, gg",1
commend qop,1
fun times,1
:3 gg wp,1
"no stress, gg",1
ggwp y'all,1
awesome match!,1
ggwp fam,1
lmao gg,1
can't wait for next,1
gg,1
ggwp let's go again,1
you're all awesome!,1
love this game,1
gl have fun!,1
good luck all,1
great teamwork!,1
ggwp most fun,1
well coordinated,1
gg wp!,1
gg wp friends,1
wanna play again,1
cheers all,1
gg let's do it!,1
:D ggwp,1
insane play!,1
gg wp xD,1
champions!,1
keep it up lol,1
nice effort,1
fantastic game,1
great spirit,1
ggwp everyone,1
commend huskar,1
gg wp ty!,1
so fun!,1
keep pushing!,1
super game,1
gg wp!,1
great session,1
nice!,1
ggwp lads,1
omg gg,1
hehehe gg,1
gg wp let's go again,1
keep going :) gg,1
totally rad game,1
xd gg wp,1
amazing team!,1
ggwp everyone!,1
:D gg gg,1
nice teamwork,1
well fought,1
ggwp fam!,1
"much appreciated, gg",1
hooray! gg,1
fabulous play!,1
no stress gg,1
learned so much!,1
let's gooooooo,1
"GG, ride or die",1
big win gg,1
gl hf team!,1
nice comeback!,1
HYPED!,1
good company,1
XD gg wp,1
commend axe,1
gg wp :),1
"good laugh, gg",1
thx all gg,1
booyah! gg,1
nice push!,1
LOL gg,1
gg nt,1
epic team,1
commending pudge,1
ROFL gg,1
best gg ever,1
ez wp,1
yey gg wp,1
now that was fun!,1
clutch plays,1
so lucky gg,1
team spirit!,1
what a rush!,1
nice jug!,1
gg bro,1
ggwp :) ggwp,1
keep smiling gg,1
phew! ggwp,1
ggwp mates,1
"maan, gg",1
wp gg,1
Ez gg,1
"loved it, gg",1
much fun gg,1
glhf wp!,1
uktimate gamers,1
amazing push!,1
congrats all,1
ggwp haha,1
keep it rolling,1
GG WP BOIS,1
"thx team, gg",1
happy games!,1
ggwp. let's win this,1
so good gg,1
plz play again,1
commend inch,1
super stoked gg,1
ok gg,1
applause ggwp,1
lovely game,1
GG hehe,1
crazy match!,1
ggwp everyone!,1
awww gg,1
leet game!,1
gg all!,1
a pleasure! gg,1
"loved that, gg",1
let's keep going!,1
good try,1
ggwp lets go again,1
friendly bunch!,1
cant do this without you <3,1
gg love this team,1
fantastic teamwork!,1
good catch!,1
truly OP gg,1
laughs and good vibes,1
dota life,1
mmm gg,1
positive vibes gg,1
more games pls!,1
happy place!,1
didn't expect that gg,1
what's next? gg,1
new friends,1
will miss this,1
until next time gg,1
gentlemen gg,1
woohoo ggwp,1
empowered by you! gg,1
cool stuff,1
beast mode gg,1
peace out gg,1
holy cow gg,1
y'all da best gg,1
merry games!,1
penta! gg,1
awesome skill,1
perfect combo gg,1
mami gg,1
gg <3,1
lol ggwp,1
great help,1
nice save,1
respect gg,1
spirit of the game,1
one for the books,1
it's a wrap gg,1
let's roll,1
farewell gg,1
big family gg,1
hyped moment! gg,1
GG,1
more pls!,1
thanks for the memories,1
good show!,1
epic indeed,1
supplemental gg,1
best night,1
delightful gg,1
smiles only,1
ray of sunshine,1
grateful,1
warming up gg,1
breaking barriers,1
totally sick,1
happy days,1
gr8 teamwork!,1
you rock!,1
eee gg,1
and another one!,1
small world :),1
revived gg,1
all smiles,1
besties,1
happy snizzles,1
OMG,1
zzzzz,1
slay them,1
NO U,1
incredible,1
peng gang,1
heartfelt,1
