sentences,labels
ward the jungle please.anyone needs courier before I use it.great push let's keep it up,1  
"wasting my time with you idiots.""If I would"" know, I wouldn't play.",-1  
Why are you playing like a potato? Get it together. Reported for feeding and being useless.,-1  
"that was close, good defense team. we can turn this around. group for smoke now?. I'll help with mid",1  
"Let's coordinate the ganks.If we win the next fight, we'll take Roshan.Careful with their smoke gank, stay alert.",1  
"Nice kill top, let's push mid. Silent this game, huh? GG. You're awesome. Well played team!",1  
Good rotation mid. Carry is safe farming. Let's keep the pressure. GG!,1  
can't believe you missed that kill.hurry up and buy items,-1  
"Why are you always on my lane? Get out, I can't farm, ""fucking Invoker""",-1  
"If you would just listen, maybe we'd win. I can't carry alone when you all keep dying. Why even bother? Seriously, uninstall.",-1
please focus on objectives.the game is going well.great last fight guys,1
"""You're all useless!""""Report the clown that fed mid!""",-1  
"I'm reporting you.you're the worst Pudge.player of all time.just uninstall, please.",-1
Amazing defense team.they overextended.time for a base push.defend silence.planning is key,1  
"we definitely have this one in the bag.amazing job, team.I'll ward the jungle.",1  
"WTF are you doing?! Just uninstall already, it's so frustrating to play with you.",-1  
"""this game"" is over, you guys.""noob mid"" can't even farm.""want report"" after?.",-1
"great start team.let's secure the next rune.if you're low, back and heal.roaming top to help.push bot with me",1  
"Dude, you seriously need to uninstall. Stop feeding, you're terrible. Why do we even have you on the team?",-1  
"awesome teamwork guys.ward the jungle please.if we stick together, we win.",1  
player leave the game again.fucking report them.this is pathetic,-1  
"Nice dodging skills man, that was awesome.Let's keep up the pressure on top.I've got your back with heals.",1  
"Are you blind or just dumb? Stop feeding, we can’t carry you",-1  
"I just wanted to say, good job on that last play. Let’s focus on objectives now.",1  
what are you doing man.play your role.stop blaming others.you're toxic,-1  
Amazing comeback!keep up the good work.team synergy is on point.guard the shrine.,1  
"""Easy mid"" they said. ""Fucking Invoker, noob."" Play better or expect reports! You don't deserve MMR!",-1  
"I'll back you up, let's smoke gank.Trying to deward enemy jungle now.",1  
we're doing well.just need to keep our cool and focus.think before you init,1  
"Come on, you're all useless. What's with the feeding? Learn to play or go back to bots",-1  
I can’t believe we lost that one.what are you even doing?stop taking my farm.leave the lane now,-1  
"you're such a joke.”noob"" can’t even handle mid",-1  
Would you please listen and stop going alone? We need you here.,1  
i'm helping mid after this wave.we can push after that.easy game so far.great rotations everyone,1
"gg everyone, well played team.push mid next then take Rosh.who has smoke?",1
thanks for the support guys.keep it up.we can win this easily,1
hey team great job.let's keep up the pressure.don’t forget wards,1  
ok team.we need to focus on objectives.i'll support you guys,1  
"Pudge is feeding hard. We can't win like this. Smh, ""yeah go feed more""",-1  
"""why did you play rank?you're so useless.report this clown already!fucking noob mid player!""",-1  
