player_chat,action
gg. report noob team,-1
bottom no def lol,-1
ez af. uninstall pls,-1
free win haha gg,-1
trash supports wtf,-1
easy mid lol,-1
rofl this mid,-1
waste time gg,-1
noob team end fast,-1
ggwp bots,-1
LOL feeding much,-1
ez pz team,-1
cyka blyat lmao,-1
u guys suck,-1
afk noob gg,-1
nice feed,-1
bad players omg,-1
xd so bad,-1
report pls,-1
ggj team,-1
afk. finish,-1
mid noob haha,-1
trash cans gg,-1
this team lol,-1
gg noobs end,-1
ez wp bots,-1
bad sup xD,-1
gg retard,-1
noob alarms,-1
ez mid,-1
roaming feed,-1
bye gg,-1
worst game,-1
wow so pro,-1
carry noob,-1
big throw,-1
just end it,-1
bot lose,-1
bots,-1
dfuq is this gg,-1
dont play,-1
gg trash,-1
stfu noob,-1
end my suffering,-1
lol,-1
as always...,-1
babies,-1
fcking idiots,-1
cyka team,-1
no cucumbers,-1
report clown,-1
ez scrubs,-1
q_q noob,-1
hahaha gg,-1
basic noobs,-1
lmao mid,-1
total clowns,-1
ff lol,-1
who fed this,-1
game over,-1
noob rats,-1
losers gg,-1
brain afk,-1
ez,-1
you serious,-1
ez carry,-1
useless ez,-1
trash team,-1
puppy noob,-1
gg idiots,-1
pure garbage,-1
bots here,-1
gg ez,-1
lose fast,-1
fail team,-1
lol ur bad,-1
team throw,-1
massive loss,-1
what a joke,-1
surrender,-1
gg clowns,-1
nice int,-1
rofl bots,-1
team noob,-1
am done,-1
leave this,-1
ez money,-1
gg clown,-1
lol fail,-1
gg buff,-1
omg stop,-1
game ruined,-1
get a grip,-1
wtf team,-1
ggwp guys,1
lol easy,-1
some trash,-1
what even,-1
hah losers,-1
noob age,-1
bad move,-1
fail strats,-1
get real,-1
lucky rats,-1
basic pub,-1
throw more,-1
mid cocks,-1
piss poor,-1
useless1,-1
just hide,-1
afk birds,-1
what's this,-1
leave,-1
noobs inc,-1
fkin dogs,-1
player trash,-1
bots. gg,-1
btch pls,-1
kids gg,-1
try harder,-1
low lives,-1
idiot fiesta,-1
team ffs,-1
mid lost,-1
no skills,-1
why try,-1
whats that,-1
omg guys,-1
clowns af,-1
bait fail,-1
just lose,-1
team fail,-1
trash cans gg,-1
this team lol,-1
report ,-1
are you serious,-1
you kidding,-1
loser stack,-1
why noobs,-1
bunk stack,-1
who picks that?,-1
losing pathetic,-1
fake pros,-1
bots all,-1
first-pick trash,-1
clown team ,-1
badlands,-1
meanwhile me,-1
cry babies,-1
omg win,-1
one hit wonders,-1
wow mid,-1
carry better,-1
no chance,-1
what even,-1
noob play,-1
losta energy,-1
not today,-1
gg fail,-1
super waste,-1
ez farm,1
never stress,1
try again,1
gg well done,1
this was fun,1
almost got it,1
cant win 'em all,1
good fight,1
i got baited,1
almost clutch,1
stay focused,1
close game,1
whoa close,1
so close!,1
next time!,1
gg nice team,1
almost win,1
we'll get it,1
one more go,1
keep at it,1
good job team,1
i believe,1
big plays ,1
close game,1
that was great,1
tactical pause,1
almost comeback,1
nice try guys,1
keep trying,1
great effort,1
close call!,1
patience guys,1
we got this,1
not too bad,1
fight on,1
almost there,1
we nearly had it,1
next round!,1
hang in there,1
this was fun,1
solid effort,1
one more chance,1
well played,1
keep grinding,1
stay positive,1
