match,player,translated_message,label
33,1,"""hp?"". ""first bash"". haha. ""Me too"". ""alright guys"". ""Joked and that's enough"". ""maybe you will push?"". ""Yeah, fuck, they don't want to play"". ""I'm not defending"". ""ruined it solo?"". =)",0
76,5,"""What the fuck"". ""what 2 suicides"". ""he left"". read chat. gg. gg",0
28,3,"xd. ""easy mid"". report lion carry. ""easy oof"". ""that happens when you have two Peruvian carries and a Peruvian oof with 300 apm"". ""and my carries??"". ""died like Peruvian whores"". agg. ""damn it's boring to play with Peruvians"". ""Luna with BKB"". xd. Haha. lol. ""a trash legend"". ""how disgusting"". ""doesn't know how to go oof and goes oof"". ""how disgusting"". ""my Luna hits the one with leggings, now I see why he dies like a whore"". ""my shadow doesn't know how to use ult""",1
77,2,gg,0
4,8,"Well played.. ""Well played""",0
47,1,"end. ""please"". the kraken has been unleashed. gg",0
62,6,"""come on"". ""rampage incoming""",0
96,2,"gg. ""classic Anti-Mage game...""",0
56,6,"""How many are in your party?"". ""what 2800"". ""how you fucking annoy with your dis"". ""the whole game"". ""I was getting fucked up""",0
21,5,"""what bye?"". FACELESS VOID. why hate me :(. ""why hate me"". :(. snipshit. ok",0
49,8,"""Don't be racist with an Archon, dogs."". ""damn I feel small"". oleee. ??. magnus",0
86,7,gg sniper,0
26,5,"revenge time?. ""abandoning if that's fine guys?"". w. t. f. I pick Techies.. I think I'm good.. x. X. XD. whattattatatattata. yeah. ouch. Fuck. ""techies you are actually a fucking cunt"". ""like this game would have been done 20 years ago"". ""but we can't fucking push high"". yeah. easy",0
12,6,gg,0
27,6,gg,0
20,0,GG,0
21,0,"""cry"". ""you ENEMY NOOB"". Hahaha. ""YOU NOOB SHIT""",1
42,4,"xdxD. ""GO FUCK YOURSELF"". Thank you. pudge. ""report mid please"". ""noob Pudge"". BKB. thank you. ""YOU COPY"". ""game nice"". stupid mid. gg. Team bad. ""mid 3k"". xD. :D. EZ",0
3,0,"""Look who's talking"". ""Go to hell"". ""Nice, you fed Pudge."". ""all clear, in short"". ""mm, are you capable of anything on your own, Pangolier?"". ""or are you hiding behind Sven?"". ""take that, fuck"". ""just destroy it already"". ""fucking annoying"". ""gg wp, like""",1
53,4,"""Omnik, how are your nerves?)"". ""And now?)"". ""Your mouth the other way around""",0
92,3,"laughing my ass off. What the fuck. XD. ha. ""omg this game"". XD. ;DDDD. ""What's happening"". NOT ALL VOID PLAYERS. XD. HAH. ""K2"". ooooh. HA. NEXT TIME. ""I'LL GO"". DIVINE",0
34,0,gg,0
93,9,"HAHAHA. ""HA"". ""through"". ""what the fuck"". ""to play"". mother. ""Didn't she die?"". ""how to fuck up"". ""the game""",0
86,1,"no problem please bro. noob. epic Brazil. lol. epic necro 2k. ""Brazil detected"". ""gg commend"". long live Peru :3. ""The sweet potato is tasty"". ""fucking trash"". D. ""GG :V"" translates to ""Good Game :V"". ""easy MID""",1
87,4,"""The dad is at Rosh.""",0
53,6,"Yes. easy. Everything is fine.. ""troll""",0
50,9,GG,0
7,1,пытайся усерднее. =)))))))))),0
72,6,gg. having a mega fun time?. gg,0
97,8,"Dubai. ""suck""",0
91,3,lol,0
36,3,"""remake"". ""remake?"". please. ""me and my team"". newbies. Wooo. The message is already in English: ""how did u type that"". ""fuck you"". remake",0
90,7,"nice. rly. ""Russian cotton"". no. I'm Russian. ""Fuck, Void on mid"". ""naturally easy"". ""Gulya is angry"". ""his dad fucks him in the ass"". ""it's spelled with an o"". SHAAARP. ""I appreciated it"". thx. _*. ""Hello"". ""Gyrocopter, are you sexually frustrated?"". ""Play on easy""",0
30,8,"""Who banned Ursa? :)"". ""why the fuck?)"". ""One hit away and you're picking your nose.""",0
51,3,"удача. ""forfeit"". ""[fds[f[dsf["". ""khavykhakhyvakh"". ""made a TP on four"". one. ""ahvkhayvkhakhyvakhv"". ""3 scum default"". ""hahaha"". ""minus nerves""",0
69,2,"""What's up?"". ""Did you arrive?"". ?. ""killed?"". ?",0
13,3,"?. ""don't pause for nothing"". ""}wtf"". What the fuck. ""woiwowowo"". ""gonna push more?"". end. ""can you people push"". ""i have to go to another game"". ""I won't defend"". wow",0
90,2,"""as if we're all from the same region here))"". )). )). ""greedy"". ""Void is good"". ""like a Lifestealer"". ""0 5"". ""haha"". ""blamed it on Void""",0
24,4,"""huh?"". ""what's your problem""",0
97,7,"""minus game"". let's go. ""go"". ""oh f*ck"". ROFL",0
80,6,Aw. lol,0
26,0,"""such lies""",0
79,3,"gg. ""I couldn't reach, you idiot""",0
47,4,xD,0
39,9,"zzz. no team. lol. ""I have no team, end this."". end. MISSILES!. end =). lol",0
76,1,:D,0
