messages,labels
"""on ur 6"". ""thx for cover"". ""lol gg"". ""ammo here"". ""team up?"". ""nice shot!"". ""let's party""",0
"""noob camper"". ""ur slow"". ""game sux"". ""like I care"". ""ur trash"". ""ur lucky"". ""nah, scrub""",1
"""follow me"". ""ok np"". ""u ok?"". ""we good"". ""help here!"". ""coming!"". ""gg guys"". ""good try"". ""incoming!"". ""regroup pls"". ""nice shot!"". ""team up?""",0
"""noob move"". ""trash team"". ""ez win"". ""1v1 ez"". ""noobs"". ""u suck"". ""they suck"". ""fluke"". ""nah""",1
"""dont camp!"". ""omg stfu"". ""trash team"". ""noob playr"". ""😂 stay mad""",1
"""come fight!"". ""u mad?"". ""help urself"". ""git gud"". ""keep cryin""",0
"""ez bot"". ""stfu trash"". ""aim bot??"". ""git rekt"". ""u lost"". ""no skill"". ""toxic much?"". ""bruh aim"". ""stop trying"". ""gg ez"". ""camp harder""",1
"""lol noob"". ""lmao git gud"". ""ur just bad"". ""haha noob"". ""cuz hacks"". ""u mad?"". ""cry more"". ""just luck"". ""ur dead"". ""luck only"". ""lol okay""",1
"""ur bad"". ""no u"". ""useless"". ""horrible aim"". ""get gud"". ""feed kills"". ""bots"". ""u trash""",1
"""gay team"". ""noob"". ""like trash"". ""joke player"". ""learn game"". ""gay strat"". ""haha dead"". ""srsly noob""",1
"""noob lol"". ""ez win lmao"". ""u suck"". ""haha pleb"". ""nice aim!"". ""get gud lol"". ""bad play!"". ""full send lmao"". ""lol trash"". ""nice try 😂"". ""haha missed"". ""try harder lmao""",1
"""u mad?"". ""ok bot"". ""ok try"". ""play better"". ""thx nub"". ""ok scrub"". ""ok nerd"". ""gg ez"". ""k bot"". ""ok whatevs"". ""u wish"". ""ok noob""",0
"""need help?"". ""ok np"". ""gj team"". ""gg wp"". ""cover me"". ""lol thx"". ""n1 shot"". ""ok lol"". ""here ammo"". ""kk np"". ""push left"". ""lol kk""",0
"""dont care"". ""u trash"". ""lol trash"". ""whatever"". ""git gud"". ""lmao noob"". ""dont think so"". ""u mad?"". ""dont need"". ""noob behavior"". ""nah trash"". ""go cry""",1
"""need help?"". ""ok np"". ""glhf :)"". ""nice try"". ""we got this"". ""im covering"". ""can i help"". ""sry about that"". ""please regroup""",0
"""play better"". ""ez 4 me"". ""team bad"". ""just die"". ""stop play"". ""so bad""",1
"""Ur trash"". ""Team sux"". ""Ur gay"". ""Useless team"". ""Pathetic"". ""U rly bad"". ""Team is gay"". ""Trash aim"". ""Rage quit?"". ""U suck""",1
"""Lol, dead"". ""Lmao, git gud"". ""XD, cry more"". ""Rage harder"". ""GG noobs"". ""XD ur joke"". ""Lmao, dude"". ""Nice try"". ""Try harder"". ""EZ win""",1
"""camper trash"". ""bot"". ""quit game"". ""u mad?"". ""ez kill"". ""nah, ur bad"". ""stop campin"". ""pathetic"". ""leaderboard plz""",1
"""ur ass"". ""lmao noob"". ""uninstall kid"". ""trash team"". ""lucky shot"". ""cry more"". ""git gud"". ""ur all talk"". ""lmao, bot""",1
"""ez win"". ""u bad"". ""stop camping"". ""l2play"". ""ez kill"". ""no skill"". ""quit game""",1
"""noob team"". ""ur trash"". ""git gud"". ""bot"". ""u mad"". ""run away"". ""gg noob""",1
"""got ur back"". ""need help?"". ""ty for cover"". ""guy, relax"". ""we got this"". ""keep trying""",0
"""lol bad"". ""nah"". ""ur too slow"". ""lmao noob"". ""lose bad"". ""ur joke""",1
"""Need help?"". ""Stay close."". ""Revive me!"". ""Play defense."". ""Flank right."". ""Cover me."". ""Ammo here."". ""Great job!"". ""Push now!"". ""Almost there."". ""Grenades out!"". ""Keep going!"". ""Team wins.""",0
"""Noob!"". ""Useless!"". ""Git gud!"". ""Why bother?"". ""Stupid plan!"". ""Can't aim!"". ""Don't care!"". ""Lame win!"". ""Suckers!"". ""You trash!"". ""Quit throwing!"". ""Waste time!"". ""Just luck!""",0
"""need backup"". ""just hold tight"". ""follow me"". ""gg guys"". ""keep going""",0
"""ur useless"". ""lol, noob"". ""our team sux"". ""ur kidding, right?"". ""pointless""",1
"""noob team"". ""ez kills"". ""xd get gud"". ""camp more"". ""trash game"". ""uninstall noob"". ""luck shot"". ""reported xD"". ""easy claps"". ""gg ez"". ""bad team""",1
"""lol u mad"". ""gg bot"". ""u suck"". ""cry moar"". ""git rekt"". ""still lost lol"". ""sure kid"". ""who cares?"". ""carried ya"". ""salty much?"". ""u tried""",0
"""Ugh, gay team"". ""Can't play"". ""Shut up"". ""U ass"". ""Lose much?"". ""Gay moves"". ""Team sucks""",1
"""Ok, noob"". ""Revive me!"". ""Come fight"". ""Ok w/e"". ""Git gud"". ""Ok, noob"". ""Come @ me""",0
"""git gud"". ""ez ass"". ""trash lol"". ""u ded"". ""get rekt"". ""sme rnd"". ""nublet"". ""ur bad""",1
"""lmao bot"". ""noob xd"". ""cry moar"". ""gg ez"". ""ur a bot"". ""u mad?"". ""haha ez"". ""lol trash""",1
"""noob team"". ""ass aim"". ""useless noob"". ""aimless bots"". ""noob fest"". ""team sucks"". ""try harder"". ""noob city"". ""can't aim"". ""get good"". ""ass game""",1
"""bot squad"". ""lmao trash"". ""bot behavior"". ""laughable skill"". ""bot party"". ""clueless team"". ""bot backup"". ""lmao weak"". ""trash effort"". ""zero skill""",1
"""u a bot"". ""stop campn"". ""ur ass"". ""ez clap"". ""git gud""",1
"""ur loss"". ""join lobb?"". ""1v1, noob"". ""tryhard much?""",0
"""u suck"". ""team ass"". ""noob alert"". ""ass team"". ""no aim"". ""ass player"". ""team trash"". ""noob squad"". ""lagging ass"". ""useless team""",1
"""ok noob"". ""ok boomer"". ""ok thanks"". ""whatever loser"". ""ok blind"". ""ok thanks"". ""sure thing"". ""ok genius"". ""ok blame"". ""ok clown""",0
"""need help?"". ""ok np"". ""try left"". ""thx :)"". ""gg next"". ""got ur 6"". ""let's go"". ""good try"". ""cover L"". ""thx bro"". ""gg anyway""",0
"""noob move"". ""come on!!"". ""ugh chill"". ""respawn plz"". ""useless cuff"". ""come on!"". ""pfft seriously"". ""stop!"". ""MVP here""",0
"""Go, team!"". ""Need help?"". ""Sorry, lag!"". ""GG, everyone"". ""Nice strat ;)"". ""Teamwork rocks"". ""Need ammo?"". ""Great shot!"". ""Stay together"". ""Flank left"". ""Covering you"". ""My bad"". ""Reviving you!"". ""Sniper, careful!"". ""Let's regroup"". ""Good save!"". ""Watch the corner"". ""We're winning :)"". ""Right behind u"". ""Go, go, go!"". ""We did it!""",0
"""Noobz everywhere"". ""Learn2play"". ""Excuses, excuses"". ""ez win"". ""Luckyyy"". ""Yeah, right"". ""Nah, I'm god"". ""You're welcome"". ""Why bother"". ""Ugh, fine"". ""Like, do better"". ""Doesn't matter"". ""Finally, n00b"". ""That's it?"". ""No thx"". ""Killed it, duh"". ""Do I have 2?"". ""Obviously"". ""Slowpoke"". ""Or nah"". ""Whatever""",1
"""ez kill"". ""lol ass"". ""gg camp"". ""luck much"". ""u suckkk"". ""camperrr"". ""weak ass"". ""git rekt"". ""cliched"". ""u trash"". ""tryhard""",1
"""noob alert"". ""so gay"". ""like try?"". ""git gud"". ""like p1?"". ""lmaoo"". ""noob play"". ""feels gay"". ""like u"". ""what's new"". ""dial it""",1
"""wait up"". ""come here"". ""guy behind"". ""help plz"". ""u got this"". ""need ammo""",0
"""noob fast"". ""git good"". ""gg ur dead"". ""nah noobs"". ""jus go"". ""gg have fun""",0
"""noob team"". ""u trash"". ""team sux"". ""lol gg"". ""uninstall""",1
"""ass aim"". ""git gud"". ""like u?"". ""git gone"". ""keep cryin""",1
"""Need help?"". ""Join me?"". ""Good play!"". ""Follow me!"". ""Nice shot!"". ""Heal please!"". ""u ok?"". ""Cover me!"". ""Come back!"". ""Let's win!"". ""Take point!"". ""gg, team!"". ""Play safe!"". ""Team up?""",0
"""Nah, camping."". ""lmao, noob."". ""xd, tryhard."". ""pfft, whatever."". ""luck, noob."". ""rofl, nah."". ""meh, u suck."". ""stop whining."". ""nah, busy camping."". ""dream on."". ""nope, lazy."". ""lol, losers."". ""boring, dude."". ""rather not.""",1
"""ez noob"". ""ur trash"". ""camping loser"". ""too ez"". ""get rekt"". ""trash team"". ""lol no skill"". ""uninstall plez"". ""all luck"". ""GG ez""",1
"""lol git gud"". ""revive me"". ""play smrt"". ""lol nice try"". ""pld like bot"". ""same 2 u"". ""ur aim?"". ""u first"". ""no $$$ 4 skills?"". ""not even close""",0
"""noob lol"". ""git gud xd"". ""nice aim lol"". ""like really?"". ""keep camping"". ""like u do xd"". ""weak play lol"". ""cry more""",1
"""stay bad"". ""respawn more"". ""ur trash"". ""respawn n die"". ""lol get skill"". ""stay mad"". ""git lost"". ""respawn again""",0
"""lol camper"". ""xd noob"". ""lmao trash"". ""camp much"". ""lol cute"". ""skill issues"". ""camper lol"". ""omg lmao"". ""learn map"". ""noob xd"". ""laughable"". ""see u"". ""gg campers"". ""such pros"". ""sure lol""",1
"""play better"". ""git gud"". ""git a plan"". ""you suck"". ""try move"". ""dude pls"". ""skilled guy"". ""tryhard"". ""sure dude"". ""need practice""",0
"""Need ammo?"". ""Right here, bro."". ""We got this."". ""Cover me."". ""Coming, guys."". ""We’ll win."". ""Nice shot!"". ""Good try."". ""Teamwork, bro."". ""Flank left."". ""I got meds."". ""Hang tight."". ""Behind you!"". ""Be careful."". ""I’m here.""",0
"""Noob."". ""Shut up."". ""You're trash."". ""Not needed."". ""You suck."". ""Whatever, gay."". ""Useless."". ""Dumbass."". ""Stfu."". ""Dumb.""",1
"""u ass!"". ""this team sux"". ""play better"". ""u r useless"". ""team of noobs!"". ""try again"". ""pfft loser"". ""oh pls"". ""stop dyin"". ""seriousy???"". ""play the obj!""",1
"""lol u mad?"". ""ur trash"". ""stop camping"". ""ur aim bad"". ""ez fragz"". ""git gud"". ""u weak"". ""nah, u"". ""ur probs"". ""rage more"". ""it's ur prob""",1
"""Need cover"". ""Ok team"". ""Join me"". ""Ammo here"". ""Help pls"". ""UAV up"". ""Watch back"". ""Take point"". ""We got this"". ""Stick together"". ""Careful mine"". ""Flank left"". ""Heal up"". ""Good shot"". ""Hold line"". ""Need backup"". ""Lead on""",0
"""Just die"". ""gg noobs"". ""useless spot"". ""gg lame"". ""git gud"". ""gg trash"". ""sniper suck"". ""gg ez"". ""lol noobs"". ""gg dumb"". ""gg blind"". ""gg sheep"". ""lol weak"". ""gg lucky"". ""gg fail"". ""gg just die"". ""gg pathetic""",0
