match,player,translated_message,label
0,2,"""I'm sure"". ""that there's a ward here"". ""Am I right?"". ""Is there a ward on the high ground?"". ""When you're up against Pudge, there's always a ward here."". ""or is it closer to the rune?"". ""let's wait"". ""tinker is muted"". lol. ""Good luck with your game"". ""wasn't in mute for no reason"". ""MID FUCKING NICK"". ""HAHAHA"". ""I'm here as the feed.""",0
0,4,"""Two-step move SK"". ""won't work"". ""how did you see"". Faggot. gg",0
0,6,"""high ground""",0
0,7,"""Place a sentry."". ""you'll find out"". ""Place a sentry, buddy"". ""listen to Tinker"". ;-). ""Too bad""",0
0,9,"""weakest invoker"". ""like the tinker""",0
1,1,"""well okay""",0
1,2,"""Your Invoker is a bum""",0
1,3,"""gg""",0
1,4,gg,0
1,5,"""the whole team are bums"". ""easy MMR"". ""Void, how to farm?"". just finish",0
1,7,"""+""",0
2,0,"""well played""",0
2,2,"""report Venge"". пожалуйста. _I_",0
2,4,"The message is already in English: ""can you finish fast"". ff. finish mid",0
2,5,"""can't reach""",0
2,7,"""fuck, QoP"". ""You're dying(""",0
2,8,"""gg"". GG. ""Easy""",0
3,0,"""Look who's talking"". ""Go to hell"". ""Nice, you fed Pudge."". ""all clear, in short"". ""mm, are you capable of anything on your own, Pangolier?"". ""or are you hiding behind Sven?"". ""take that, fuck"". ""just destroy it already"". ""fucking annoying"". ""gg wp, like""",1
3,2,"""Freak"". ""Fuck, Invoker is such a noob."". ""gg, pushten"". ""Invoker just fed""",0
3,4,"""+"". ""+"". gg. like",0
3,5,"""faggot"". ""I'm going to tear your ass apart now"". ""Do you understand?"". loool. ""Didn't you fuck up the lane?"". ""Armlet at 17 minutes"". ""lul"". ""Pudge doesn't depend on items"". ""What's the point of feeding him?"". ""lul"". ""Am I the carry or something?"". ""Is Pangolier a carry?"". ""answer"". +. ""oh"". ""enough"". ""chasing me"". ""you already lost"". bb. ""bravo"". ""lol what"". как. ""For what?"". ""you fucked up the lane"". ""animal on Sven"". report",1
3,8,"""What's Pudge got to do with it?"". ""if you sucked on the lane"". ""you fucked up the lanes"". ""What's Pudge got to do with mid?"". ""and you without your ultimate?"". ""Are you too weak?"". ""10 copies fuck"". ""in vain"". ""easy""",0
3,9,"""Bro, you have different roles, like, you know))""",0
4,1,"Aw. yeah. ""what am I doing?"". ""then I dance?"". ""?"". ""at least I'm not a failed mid"". ""just gg noob"". I don't care.",0
4,2,TAKE IT EASY BROS,0
4,8,"Well played.. ""Well played""",0
4,9,"sad Invoker. ""try to play haha"". ""but slow farm"". ""sumiya doesn't have Midas"". ""hello bot"". ""please kill me"". hello bot. ""combo hahaha"". ""so fucking noob"". yeah",1
5,0,What the fuck,0
5,2,That's why you're still in single draft.. where is your disruptor?. where is your friend?. unpause. What the fuck. why. gg,0
5,5,"_. lol. bad computer. ""noob"". ""Easy"". EZ. ""EZ"". EZ. Easy",0
5,7,ez,0
5,8,wait. bad connection. he is coming,0
5,9,"sure we are. I don't have any friend.. nice. ""rat is real"". good game dude",0
6,0,"for what. ""you first pick Terrorblade"". ""then you want to report Bloodseeker for losing"". yes. ""then you pick support"". ""pick support"". ""and not core"". ""not too hard""",0
6,2,"8. ""9"". ""how much damage"". XD",0
6,5,"""Am I supposed to lose gold because my supports don't pick?"". ""not that we lose because of the TB pick#"". ""why is no one else farming""",0
6,6,"gg. Report Bloodseeker, thank you.. ""for what?"". :DDD",0
6,7,"""let's see :D"". oh come on :(. ""wanted to stack more"". gg wp",0
