messages,labels
"Stop feeding noob, try playing better",0
"Nice plays team, let's keep it up",1
"gg ez, uninstall pls",0
"Push mid guys, we got this",1
"Report this feeder, such a troll",0
"Well played everyone, that was fun",1
"Why u so bad, uninstall game",0
Thanks for the epic save!,1
"You're all trash, can't win a game",0
"Great teamwork, let's do it again",1
gg izi ez,0
stop feeding and help us,0
gj team keep it up,1
report mid feeder,0
wp nice push,1
why u so bad lol,0
we can win this guys,1
noob learn to play,0
nice comeback team,1
shut up and play,0
"I can't believe my team, rofl.",1
"Why u feeding, report that guy.",0
lol gg wp everyone!,1
How's it possible to be this bad?,0
"Great teamwork, let's keep pushing!",1
"Noob players, uninstall the game.",0
Nice clutch! You're a legend.,1
"Stupid noob, learn to play better.",0
"Keep it up, we're winning!",1
U r so bad it's cringe.,0
gg wp team,1
stop feeding u noob,0
nice play on mid,1
"trash support, uninstall",0
hey go push bot,1
freaking idiot,0
wow great gank top!,1
noob learn to play,0
thanks for warding!,1
go back to low prio,0
wtf u doing bro?,0
well played team,1
stop feeding idiot,0
gg wp everyone,1
Learn to play noob,0
great teamwork folks,1
report this dumb void,0
nice save my friend,1
y u so toxic dude?,0
any tips for next match?,1
gg u guys suck,0
"nice play team, gg",1
wtf go rosh noobs,0
can we chill and focus?,1
stop feeding you idiot,0
"great draft, let's win!",1
haha ur trash,0
"good push, nice work",1
report this feeder pls,0
thanks for helping mid!,1
"Nice kill, keep it up!",1
"You're trash, uninstall plz",0
"gg wp team, well played",1
Stop feeding noob,0
Can we push mid now?,1
Reported for griefing,0
"Lol, what a game!",1
"Why u afk, idiot?",0
Let's regroup and win,1
Ffs learn to play,0
gg wp everyone,1
why u so bad?,0
nice play mate,1
wtf are you doing?,0
thanks for the support,1
stop feeding pls,0
good job team,1
i hate this hero,0
let's push mid,1
get wrecked scrub,0
why u noob?,0
gg nice play!,1
wtf are u doing,0
keep it up team,1
idiot pick op hero,0
wp everyone,1
stop feeding bro,0
thanks for the help!,1
ur trash lol,0
great teamwork guys!,1
"yo noob, learn to play",0
"gg, well played all",1
"this team is trash, uninstall pls",0
nice save bro!,1
"stop feeding, report plz",0
"thanks for the support, love it!",1
wtf are you doing?!,0
great teamwork guys!,1
"you guys are awesome, let's win",1
"f this, I'm done with you all",0
gg we lost,1
wtf are you doin?,0
nice play team,1
stupid strategy dude,0
Keep it up guys!,1
can u stop feedin?,0
that was awesome!,1
"srsly, ur such a noob",0
"Lol, good game all!",1
why u even play this?,0
u think ur op?,0
gg wp team!,1
what r u doing mid?,0
nice play bro!,1
stop feeding pls,0
ty for the help!,1
lol u r trash,0
good luck next!,1
wtf is this draft?,0
we got this guys!,1
gg wp team,1
u useless feeder,0
nice play bro!,1
stop feeding idiot,0
thanks for the save,1
get rekt noob,0
awesome teamwork!,1
idc about ur pings,0
let's push mid,1
fking trash player,0
why u feed so hard?,0
gg wp team!,1
ur so bad lmao,0
"gj everyone, nice plays",1
stop being trash omg,0
"sorry for the mistake, my bad",1
this game is a joke,0
well played guys!,1
"come on, just leave already",0
"let's push mid, we got this!",1
ur so bad lol,0
"Good job team, we got this!",1
stop feeding idiot,0
"Nice play, let's push!",1
wtf r u doing?,0
"keep it up, we're winning!",1
"BG, uninstall game",0
"Well played, let's go next",1
why no wards? useless,0
"hey, nice teamwork",1
"wtf team, why u throw?",0
"wp guys, nice gank",1
can u please not feed?,0
thx for the save bro,1
"ur such a noob, srsly",0
ggwp everyone!,1
"stop whining, just play",0
"sick plays, well done",1
u rly need to uninstall,0
"great teamwork, keep it up",1
Tidehunter landing those ravages like a boss!,1
wtf man stop feeding all game,0
gj mid keep it up,1
"bro, ur pick was trash",0
"well played team, we got this!",1
omg report this noob no wards,0
"don't worry, we'll carry this",1
nice dc at the worst time dude,0
great rotations from support,1
can u pls stfu already,0
nice play man gg,1
wtf are u doing noob,0
keep it up team!,1
pls stop feeding omg,0
great job on that push,1
u can't even play dude,0
loved that mid control,1
u r so clueless omg,0
awesome teamwork guys,1
stop dying solo pls,0
OMG noob team,0
"Nice play everyone, gg",1
"Why u so bad, man?",0
"Keep it up, we're doing great!",1
rofl you call that gank?,0
Lets push mid and win this!,1
report that feeder pls,0
"Good luck, have fun all!",1
Stop crying and play,0
"gg wp, well played team",1
get some wards pls,1
reported for feeding noob,0
nice play team gg,1
y u still in this game?,0
great defense bottom lane,1
go afk again i dare u,0
this draft is so bad omg,0
can we push mid now?,1
awesome teamwork everyone,1
stop feeding and play smart,0
pls stop feeding,0
gg ez,1
u r so bad,0
nice job team,1
report mid pls,0
where's the gank?,1
learn to play noob,0
great teamwork guys,1
stop crying,0
let's push top,1
u so bad op ch boy,0
rofl just chill guys,1
stop feeding noobs,0
gg wp team,1
why u mad bro?,0
push mid!,1
trash ur plays omg,0
great support ty,1
"reported, enjoy ban",0
nice save ty,1
wtf u serious?,0
nice play team gg,1
ur draft is trash lmao,0
"wp guys, keep it up",1
shut up and play,0
thx for the help,1
stop feeding omg,0
we can still win this,1
u r a noob lol,0
let's push mid,1
"gg wp guys, nice game!",1
"u guys suck, uninstall pls",0
Can we push mid now?,1
ur so bad lmao,0
"Thanks for the heal, saved me!",1
stop feeding u noob,0
Let's group up and take rosh,1
Ur picks are trash,0
gj with the clutch stun!,1
"so toxic, calm down man",0
gg ez noobs,0
Can we focus pls?,1
wtf u doin man?,0
"Nice play, well done!",1
"u suck, uninstall",0
Let's push mid together,1
Why r u so dumb?,0
"Good job team, keep it up",1
stop feeding omg,0
ty for the save!,1
stop feeding dude,0
gg easy,0
"sry, my bad :)",1
report the troll pls,0
"good job team, keep it up!",1
why u so bad lol,0
"wp, that was fun",1
any tips for improvement?,1
u guys suck at this,0
thanks for the help man,1
u ro win or feed?,0
"did u see that play, op!",1
stop feeding ur lane dude,0
"you ch magic, so cool",1
"yikes, ur still at lvl 1?",0
"ok, u are doing great team!",1
r u seriously afk now?,0
"ggwp, well played all!",1
why u lose every time?,0
"have fun, see ya next game!",1
stfu and play better,0
gl hf everyone!,1
why u feeding idiot?,0
great play on that rosh guys,1
reported for being noob trash,0
"amazing teamwork, let's keep it up",1
stop being so toxic omg,1
go uninstall you clown,0
"nice save there, well played",1
omg u r useless,0
gg ez noobs,0
"nice try team, let's keep pushing!",1
"report pls, troll AFK",0
"haha good one, let's roflstomp em",1
why u feeding?! stop it,0
"wp mid, carry us to victory pls",1
"u suck, uninstall game",0
"great teamfight, keep it up!",1
"noob champ, useless here",0
support ur mid more next time ok?,1
u guys r trash lol,0
gg wp team,1
stop feeding and play,0
"nice ult, cm",1
report that idiot void,0
"well played, let's win",1
shut up and farm,0
need wards pls,1
"ez mid, good job",1
"f this draft, so stupid",0
gg wp team,1
ur trash kid,0
I'll ro soon,1
why u feed dude?,0
nice play op!,1
u ruin the game,0
let's push top,1
wtf are u doing?,0
thx for the carry,1
stop crying noob,0
Hey ggwp team!,1
wtf r u doing mid?,0
"Nice play, keep it up!",1
stop feeding u noob,0
"awesome move, thx for save",1
can u pls farm?,1
y u so bad lol,0
nice stun bro!,1
this team is trash omg,0
"we got this, lets push",1
try learn game b4 talking shit,0
gg ez win bois,1
omfg report feeding idiot,0
nice play team!,1
f u mid feed,0
we can still win this!,1
bro just uninstall pls,0
"u got this, keep it up!",1
how do u even suck this bad?,0
wp wp carry team,1
gg wp guys,1
why always feed ur dog?,0
nice gank mid,1
stop being a toxic prick,0
ez game ez life,1
ur pick sucks omg,0
can u ward pls?,1
stfu and play noob,0
thanks for the save,1
git gud scrub,0
lol u guys r trash,0
great teamwork everyone,1
can u not feed pls?,0
wp gg ez win,1
omg just play ur role,0
"well played, nice support",1
y r u even in this game?,0
ty for the save bro,1
"stop blaming others, focus",1
useless team,0
pls gank mid,1
"YOURE TRASH, UNINSTALL",0
good luck hf,1
wtf r u doin,0
nice play team!,1
stop feeding noob,0
ty for the save,1
idc about ur opinion,0
gj bot lane,1
why u so toxic bro,0
please stop feeding mid,1
so trash ur team,0
"nice play, keep it up",1
freaking useless idiot,0
lets push together guys,1
you all suck,0
gg well played,1
report this noob pls,0
thanks for the game,1
shut up and play,0
gg i hope u lose lol,0
"nice play there, keep it up",1
"wtf was that move, ur so bad",0
"gj team, let's push mid",1
stop feeding omg,0
"we got this, stay focused",1
"u suck, uninstall pls",0
well played! that was fun!,1
report this idiot omg,0
"awesome teamwork, guys!",1
"EZ game, EZ life",1
"nice try team, better luck nxt",1
get rekt noob,0
why u no gank mid?,0
pro u r a legend!,1
stop feeding plz...,0
"gj team, well played",1
are u srsly afk now?,0
"op pick, gg",1
can we push now?,1
why u still here?,0
good job team!,1
wtf noob learn to play,0
nice one! keep it up!,1
you're all trash,0
let's go mid!,1
stop feeding idiot,0
we can win this!,1
"so bad, uninstall pls",0
awesome play guys!,1
gg wp,1
nice try team,1
omg stfu noob,0
pls report invoker,0
good job on the kill,1
lol u guys are trash,0
thx for the save,1
stop feeding man,0
rofl that was fun,1
you're the worst,0
ur trash op,0
nice wp!,1
stop feeding ur ass,0
good job team,1
idk what ur doing,0
push mid and win,1
fking useless af,0
amazing play guys,1
learn to play ch,0
thanks for saving me,1
ur trash rofl,0
nice gank guys,1
wtf are you doing?,0
lets push mid op,1
why are u so bad?,0
great teamplay!,1
stop feeding idiot,0
gg wp everyone,1
report this noob,0
awesome plays dude,1
"Nice plays team, keep it up!",1
wtf are you doing noob?,0
HAHA that was a sick move,1
can u pls ward more?,1
stop feeding u idiot,0
gg wp everyone,1
y'all got wrecked lmao,0
"ty for the support, op play!",1
this lane is so bad omg,0
good luck have fun guys,1
gg wp team,1
omg u suck so bad,0
nice play dude,1
y'all r trash,0
try to push mid,1
stop feeding pls,1
reported for griefing,0
we can win this,1
ur all noobs,0
sorry for that mistake,1
can u pls focus and play?,1
"noob team, uninstall now",0
"that was a sick play, gg",1
"rofl u all trash, report",0
"nice support, wp",1
"stop feeding, idiot",0
gl hf everyone,1
u guys r useless,0
"loving this match, thx team",1
what the hell r u doing?,0
gg wp team,1
ur trash bro,0
nice play invoker,1
lol u r dumb,0
keep it up guys,1
