messages,labels
gg ez noobs learn to play,1
"nice play team, keep it up!",0
fucking idiot stop feeding,1
"good fight, let's keep pushing",0
report this faggot feeder,1
"lol ur so trash, get gud",1
"well played everyone, that was fun",0
u bitch stop ks my kills,1
thanks for the support guys!,0
can we focus the tower pls,0
gg guys well played :),0
wtf is wrong with you idiots,1
haha ez game!,1
"thank you for support, team",0
you fucking suck man,1
nicely done bro,0
report this faggot pls,1
"lets go next round, we got this",0
u play like trash omg,1
lol good luck next game,0
"I can't believe you did that, gg",0
"Stop feeding, you fucking retard!",1
"Lol that was a good game, nice plays",0
You're trash and everyone knows it,1
"Ez game, don't cry now",1
"Well played team, let's do it again",0
"Why are you AFK, idiot?",1
"Thanks for the game, was fun",0
"Fucking noobs, learn to play",1
"Hehe, nice moves dude, gg",0
I'm done with u idiots,1
gg ty for the game,0
can you stop feeding pls,1
haha ez life,0
fucking noob team,1
thank you for the support,0
go back to base lol,0
u guys are such trash,1
nice plays guys,0
why are you all so bad?,1
you guys need to report that noob,1
lol gg we almost had it,0
can u stop feeding idiot,1
easy game gg good job team,0
why is this team so fucking bad,1
haha nice play that was awesome,0
fucking hell this game is trash,1
"u guys did great, well played",0
retard just uninstall pls,1
"gg wp, see you next game",0
gg easy losers,1
"nice try team, we'll get them next time!",0
"you fucking suck, uninstall",1
hahaha this game is wild af,0
report this idiot,1
"good job guys, keep it up!",0
"fucking noob, go back to tutorial",1
why so serious? chill and have fun!,0
"trash team, can't believe this",1
"that was a fun match, gg everyone",0
gg ez noobs,1
ur so bad lmao,1
nice teamwork guys,0
fucking trash team,1
haha easy win,1
good game well played,0
report this idiot pls,1
let's push mid,0
why u so toxic dude,0
lol nice try tho,0
"ez game no re, gg",1
"u guys rock, wp all!",0
"wtf are you doing, noob",1
hahaha gg that was fun,0
pls report this retard,1
"great teamwork, let's go!",0
stop feeding you idiot,1
"lol nice plays, carry team",0
fucking trash teammates,1
"good job team, keep it up",0
gg ez game,1
you fuckin kidding me?,1
haha nice try bro,0
yo chill and play,0
fucking idiot team,1
"gg, well played all",0
you trash go uninstall,1
keep it up guys!,0
report this faggot,1
lol noob tactics,1
gg ez game,0
u play like a retard,1
haha wp team!,0
what a bunch of losers,1
nice moves mid,0
report that idiot pls,1
lol good fight guys,0
get rekt faggot,1
gg u noobs,1
"that was fun, ggwp!",0
"I'm done, ur trash team",1
nice play gg go next,0
u fucking suck lol,1
"good job, we can win this",0
report this idiot pls,1
haha ez game ty all,0
ur all useless just quit,1
great team effort guys,0
why u so bad wtf,1
gg wp well played team,0
I'm so done with this trash team,1
"Nice play there, bro!",0
gg ez noobs,1
"You did great, keep it up!",0
Ffs why u so fucking useless?,1
Thanks for the help!,0
Report this idiot pls,1
"Good job everyone, well played!",0
"Wtf are you doing, retard?",1
Winning with you guys was fun :),0
gg wp team,0
you guys are fucking trash lol,1
"nice plays, keep it up!",0
why u so bad dude? uninstall,1
"amazing game, thanks all",0
"fucking idiot, learn to play",1
haha good game guys,0
toxic morons in this match,1
"well played, that was fun",0
"useless team, go home",1
gg wp thx for the game,0
go back to ur cave noob,1
man you guys rock this match,0
fucking feeder learn to play,1
"easy win guys, nice teamwork",0
report this troll pls he's ruining,1
haha you all did amazing,0
trash team can't believe we're losing,1
lol that was a fun game thx all,0
you fucking suck uninstall,1
I'm tired of this bullshit game,1
"Nice play, team! Let's keep it up",0
"Fucking idiots, why did you feed?",1
"GG WP, that was a fun match everyone",0
"Haha, ez game, go uninstall",1
"Great teamwork, love playing with y'all!",0
Report this fucker for feeding,1
"Awesome gank mid, well done!",0
"Retard, do you even know how to play?",1
"Lol, that comeback was sick, gg",0
gg ez noobs,1
why you feed bro?,0
lol you guys suck,1
well played team!,0
fucking trash game,1
"ggwp, nice try all",0
you retard idiot,1
"haha, fun match everyone!",0
"bitch please, uninstall",1
"good job, wp folks",0
"gg wp guys, nice teamplay!",0
"yo stfu and play, idiot",1
lol that was too easy,0
u guys are fucking trash,1
"haha, nice try next time!",0
report this noob pls,1
"keep it up, team!",0
stop feeding u faggot,1
can we do better mid pls?,0
fucking useless teammates,1
gg wp guys!,0
you are a fucking joke,1
haha ez game,0
fuck yourself retard,1
report this idiot pls,1
"nice play, team!",0
what a bunch of noobs,1
lol that fight was epic,0
you bitching for no reason,1
"good job, well played!",0
"gg wp, nice teamwork!",0
"wtf u doing noob, report",1
"easy game, gg guys :)",0
"stop feedin, play properly",1
"haha, you guys are funny xd",0
"nice save there, well played!",0
"omg, such a trash player, ffs",1
"this is so fun, love this game!",0
"why u all so bad, gg i guess",1
"lol, let's go for another game!",0
gg ez game,0
ur team is trash lol,1
"wp guys, next one is ours",0
f*cking noob stop feeding,1
"nice play there, let's keep it up",0
get out you faggot,1
let's go mid and win this,0
report that idiot pls,1
"haha we got this, stay positive",0
stfu and play the game,1
I'm done with you idiots,1
gg wp team! Let's go next,0
fucking noob team report pls,1
"nice play mid, let's win this",0
stop feeding you trash,1
haha easy game thanks guys,0
why the fuck you no defend?,1
great teamwork keep it up!,0
you guys are such losers omg,1
"we can still do this, focus",0
gg ez lose again lol,1
nice play team! keep it up,0
why u guys feeding so hard?,1
lol this game is fun! :),0
"fucking trash team, uninstall pls",1
can someone ward pls?,0
go report this noob player,1
thanks for the good game guys!,0
why these idiots even playing?,1
haha that was a funny match,0
gg ez next time,0
why u so bad lol,1
nice try guys,0
fucking idiot team,1
haha ur so trash,1
good game wp,0
report mid pls,0
u suck dude,1
let's go team!,0
wtf are you doing,1
gg ez game,1
fucking report this idiot,1
haha nice play guys,0
stop being a bitch man,1
lol u guys r funny,0
i hate this fuckin team,1
that comeback tho gg,0
your mom is easy,1
good game well played,0
why u so toxic dude,1
"I'm done with this shit team, u guys are trash",1
"well played everyone, let's go next!",0
"wtf are u doin, fucking idiot",1
"great job on that last push, gg guys",0
report this fuckin noob,1
anyone wanna stack next game? ggwp,0
"you fucking suck so bad, uninstall",1
"lmao that was a fun game, nice try",0
stop feeding ur such a retard,1
good luck in your next match team,0
"gg ez, u guys suck lol",1
"fucking lag, lost us the game",1
"haha gg wp team, that was fun",0
"report this retard, he feed on purpose",1
"nice teamwork guys, we did it!",0
why u noob idiot? learn to play,1
"great support, ty for the help",0
"wtf noob, uninstall pls",1
let's push mid and win this,0
"good game, let's queue again",0
gg ez game lol,0
"you fuckin noob, uninstall",1
haha nice play team,0
report that idiot pls,1
"easy mid, good job",0
"why you feed, retard?",1
lol gg wp guys,0
stop crying and play,1
you guys are the best!,0
fucking trash team,1
gg wp,0
"you guys suck, go uninstall",1
that was close haha,0
why you feed idiot?,1
"wp team, let's queue again!",0
stop crying and play better,1
"lol, you call that a gank?",1
"good job mid, carry us",0
"wow, so toxic man",1
"nice try, see you next game!",0
why u so bad at this game lol,1
gg easy win we did it team!,0
you think you can just feed and win?,1
"report that noob, he has no idea",1
"nice play dude, let's push mid",0
hell yeah we got this guys,0
omg stop feeding you retard,1
"great team work, let's go!",0
haha you guys are just trash,1
"awesum job everyone, we rock",0
gg easy game team,1
lol you guys are funny,0
wtf are you doing noob,1
"nice play dude, keep it up",0
report this retard pls,1
haha gg wp all,0
fucking idiots learn to play,1
"good job team, we got this",0
you bitch stop feeding,1
"that was close, well played",0
gg ez game noobz,1
you guys are doing great,0
fucking retard team,1
"nice play, keep it up",0
"wtf was that move, idiots",1
haha this game is fun,0
"you suck, uninstall pls",1
good job on the win team,0
bitch cant play mid,1
let's push mid and win,0
gg easy losers lol,1
"haha, that was a fun game gg",0
"fucking bitch, go uninstall",1
"you played well, see you next match",0
"retard team, can't do shit",1
"nice teamwork guys, let's do it again",0
stop feeding you idiot,1
"good game everyone, well played",0
"you're such a noob, lol",1
"thanks for the heals, you're awesome",0
gg ez game lol,0
why u so trash noob?,1
haha good job team!,0
report that idiot pls,1
you guys r great!,0
fking bullshit match,1
nice plays everyone,0
hell yeah easy win!,0
stop feeding retard,1
well played all gg,0
get gud u idiots lol,1
nice save ty,0
report this fckn noob,1
gg wp guys,0
u play like shit,1
haha that comeback tho,0
you useless trash,1
"well played, close game",0
fkn retard team,1
let's push mid together,0
gg ez plz report,1
lol that was fun guys,0
you fucking noob wtf,1
"nice play team, keep it up",0
why u idiots feed?,1
good game everyone,0
"fuck off, you're trash",1
we can still win this,0
stfu and learn to play,1
"nice job mid, wp",0
gg wp team,0
you fucking noob,1
"let's push mid, guys",0
how'd you miss that hook pudge?,0
"bitch, uninstall the game",1
ez peasy lemon squeezy,0
report this retard pls,1
"nice play, well done",0
stop feeding you idiot,1
"haha, that was fun!",0
gg ez game bois,0
"you fucking idiot, uninstall",1
haha we crushed it,0
report this noob plz,1
"nice teamplay guys, wp",0
your skill is trash,1
"lol, so easy",0
"go to hell, idiot",1
"good carry, gg",0
fucking noob team,1
wtf u idiot stop feeding,1
gg wp guys well played,0
can u play better next time?,0
your trash uninstall game plz,1
hey team push mid lets go,0
lol u noob go back to lol,1
gg ez game ty all :),0
why u so bad at this game?,1
haha good job top lane!,0
report this fucktard pls,1
gg ez game,0
why so bad noob,1
lol nice try guys,0
you fucking idiot,1
epic win team,0
report this retard,1
haha u guys are good,0
fucking trash team,1
that was a close match,0
go fuck yourself bitch,1
gg ez game,1
why u so bad lol?,1
"nice play team, keep it up!",0
can u stop feeding ffs,1
yo gg wp everyone,0
report this idiot pls,1
haha u guys are awesome,0
stop being a retard dude,1
"sorry guys, my bad",0
wp that was fun,0
gg ez game lol,0
fucking noob team,1
well played guys!,0
you idiots lost this,1
haha that was close,0
fml can't believe we lost,0
report this retard,1
"nice try, better luck next",0
why u so bad dude,1
"come on team, we can do it!",0
gg ez noob,1
"nice play team, wp",0
you all suck lmao,1
fucking shit game,1
can we group up pls,0
haha ez win bois,0
idiots go report u,1
need wards top pls,0
lol gg bot lane,1
"wp everyone, gg",0
"gg wp team, nice game!",0
"u all fucking suck, uninstall",1
haha that was an easy win xd,0
"yo stop feeding, report this idiot",1
nice play with that hero bro,0
