messages,labels
gg team well played,0
can u not feed pls,0
stfu noob ur trash,1
ez game haha gg,0
why u so dumb dude,1
lol u guys suck,1
great job on rosh!,0
report this idiot,1
haha u got owned,0
fucking useless team,1
gg ez game,0
yo why u so toxic?,0
fckn noob team,1
haha well played guys,0
you all are dumb,1
this dota match is intense,0
stop feeding retard,1
wtf are you doing?,1
ggwp everyone,0
just report him pls,0
gg wp team,0
"you fucking noob, uninstall",1
"well played guys, good game",0
this retard invoker again,1
haha we got this ez,0
"stop feeding, idiot",1
"nice moves, let's win",0
report this dumbass feeder,1
lol that was fun,0
"useless team, just quit",1
gg wp team,0
you fucking noob,1
hahaha nice play man,0
why u so bad?,1
teamwork makes it easy!,0
"fuck this game, idiots",1
wow that was close lol,0
ur such a retard,1
gg well played guys,0
u dumb fucking retard,1
"ggwp guys, was awesome!",0
"you fucking noob, uninstall",1
"haha that was fun, nice plays",0
"retard team, can't play at all",1
wp! let's do this again,0
"fucking shit player, learn dota",1
"nice one dawg, love ur plays!",0
"idiots everywhere, so stupid",1
"lol gg, well played all",0
motherfucker doesn't know how to mid,1
"gg wp guys, close one",0
"you fucking noob, uninstall",1
haha nice play team!,0
report this retard pls,1
"lol, can't believe we won",0
you are a dumb fuck,1
"easy game, well played",0
"fuck off, idiot",1
"that was a fun match, gg",0
"haha, your team is shit",1
gg guys well played,0
fking noob team wtf,1
haha nice one void,0
stop feeding pls,0
fucking moron report him,1
the game is so easy lol,0
retard play better,1
gg wp mates,0
shit dota players,1
you guys rock!,0
gg wp team,0
wtf u doing noob,1
hahaha nice play guys,0
why you feed retard,1
amazing clutch at mid,0
stop being useless idiot,1
this game is fun,0
you fucking suck,1
"wp, let's push now",0
report this motherfucker,1
gg wp everyone,0
lol u fuckin noob,1
haha nice play team,0
wtf are u doing retard,1
easy mid thx guys,0
can u not feed pls,0
u play like shit idiot,1
just report this trash,1
great game well played,0
stop being a toxic fuck,1
gg wp team!,0
"u fucking noob, uninstall",1
haha nice play mid,0
report this retard pls,1
"easy game, well played guys",0
"wtf are you doing, idiot?",1
good luck have fun all,0
you guys fucking suck,1
hahaha nice try enemy team!,0
u dumb piece of shit,1
gg easy game,0
you are such a retard,1
haha that was fun lol,0
fucking noob cannot win,1
"nice play team, we did well",0
stop being a dumbass idiot,1
gg wp everybody,0
your dota skills are shit,1
haha gg let's play again,0
fucking russian noob,1
"Ezz game, wp all",0
Yo stop feeding noob,1
Haha nice play there,0
Fucking retard cost us game,1
You guys are awesome!,0
"Lol gg, what was that?",0
Your just a dumbass,1
Wow gg well played team,0
Report this idiot please,1
"GG wp, good team",0
"gg wp team, nice plays!",0
wtf u doing u noob,1
haha good job on the win,0
stop feeding u dumbass,1
ez game gg,0
wtf are u blind retard,1
"you were awesome, well done",0
fuck this game full of idiots,1
"nice try, let's win next one",0
what a shit team,1
gg guys well played!,0
ez game haha,0
you fuckin suck noob,1
why you so bad?,1
lol gg wp team,0
"go play another game, idiot",1
haha nice comeback team!,0
fucking useless retard,1
good game let's queue again,0
you are all trash,1
"gg wp guys, well played",0
stop feeding you fucking noob,1
that was an easy game haha,0
"yo team, we got this, stay cool",0
wtf r u doing retard?,1
"nice one, you saved the game",0
can u stop being a dumbass?,1
haha we wrecked them hard,0
"go take mid, I'll support you",0
"you piece of shit, uninstall",1
"gg wp team, well played!",0
what a bunch of noobs,1
haha good game guys,0
report this retard pls,1
easy win lol,0
u fucking suck dude,1
"nice play, carry us to victory!",0
fucking russian morons,1
hahaha we got them good!,0
shut up idiot,1
I'm done with this shit game,1
